Size,100,500,1000,2500,5000,7500,10000,25000,50000
0,1955,2933,4330,10337,28635,23467,31918,134864,473316
1,1467,2375,4679,9848,15645,24304,47632,128369,561596
2,1956,2793,3841,14248,15086,22978,31988,142966,542180
3,908,3771,3841,15645,15714,37156,31708,144572,565298
4,1885,2375,3911,13340,16273,23816,32476,130255,530168
5,1397,2445,4260,15086,15156,23885,31917,139404,494688
6,1956,2863,3841,12991,19626,23536,31988,128787,492593
7,1397,4261,3841,8102,15296,23537,31918,143734,550142
8,1956,2863,3841,9499,18508,24305,32965,135353,489938
9,1397,3841,4190,7683,19276,23257,31499,137797,558313
10,1467,3353,4330,12502,15993,23397,31918,141918,521787
11,1397,3841,3702,7542,15854,23676,32407,200165,575355
12,1886,2793,5727,7962,23886,23746,32825,141360,475412
13,1885,3422,5238,13829,24724,23677,31010,131302,575494
14,1886,2375,4330,13689,16134,23397,32406,130045,531983
15,1886,2863,5378,62369,16134,23886,32616,154070,552168
16,1397,2933,4190,8241,16273,23746,31498,129207,479253
17,1955,3282,6146,14248,15854,23257,31917,136121,458091
18,1397,3282,4331,8172,16203,23886,31987,125436,561666
19,1467,2864,4190,9918,15365,23397,31499,135493,562923
20,908,2375,3842,8242,16204,22768,32406,135982,469196
21,1466,3282,5239,10476,16273,23747,31499,144153,547977
22,1886,2864,3911,9848,16133,23048,31917,196185,538618
23,1467,2933,5239,9149,25213,23257,31499,135144,482885
24,1397,3771,5378,10547,16273,23886,31987,135772,537641
25,1397,2933,5727,18647,16413,23606,31359,133956,487774
26,1885,2794,5797,9150,16203,24025,37644,132769,478485
27,978,2444,5796,14877,15784,45397,31079,128229,537151
28,1397,2863,5238,9638,28356,23397,46654,251499,532542
29,1397,3282,3772,13409,16623,23816,32406,151766,529190
30,1467,4261,3771,8171,20603,23048,31848,128299,540574
31,1467,4190,5168,10057,27448,23746,31987,128648,561316
32,1397,4330,6704,8102,16203,23746,32407,139055,556288
33,1397,4330,5308,11314,15296,24095,31499,137239,486237
34,1467,3702,4260,8661,18019,23188,31429,133118,549793
35,1397,3841,3912,10337,25004,23746,30940,131162,545951
36,1397,3772,5657,8102,15225,23327,32197,134375,532542
37,1467,3841,3842,10546,23956,22769,31987,133048,557825
38,1396,3772,4330,12153,27308,23607,31498,174534,529818
39,1885,2375,4330,9429,15435,35759,31498,135842,523463
40,1955,3771,3911,10266,16273,23257,31987,133957,535755
41,1467,3353,3771,9987,16133,23886,31289,137448,569559
42,978,3283,4749,9987,15575,23816,31917,132350,535545
43,908,4330,7054,10546,23886,23467,40439,132420,480929
44,1467,3772,4749,10546,17041,23257,32965,158191,558873
45,1467,4260,4260,9988,15644,23746,31918,134445,568651
46,978,3771,4190,10476,15645,23746,31498,207639,483513
47,1467,3841,3841,11873,17041,23258,30730,143454,502440
48,1886,4260,5238,9987,16622,23467,31499,142826,480441
49,1397,3772,4260,10406,16273,23816,31708,134096,488123
50,1956,3841,4330,8590,15854,23327,32686,,
51,908,3841,4260,8171,15854,23747,31987,,
52,977,3283,3771,13898,25213,42882,32267,,
53,1467,2793,4261,7962,15505,34781,31499,,
54,1397,2793,5797,7683,16343,23746,32686,,
55,1886,3422,5657,12642,15366,23328,42394,,
56,1397,2375,4819,12432,19555,23886,31988,,
57,1467,2863,4260,9499,16832,24165,61042,,
58,1467,2794,3771,9847,16693,23397,32406,,
59,1466,2794,4400,7682,16133,23816,32406,,
60,1467,2305,4260,10685,15645,24304,32476,,
61,1397,2863,4260,7752,24445,34711,31917,,
62,1886,2863,4679,7753,15365,24026,36248,,
63,978,2864,4819,12502,16482,23397,31988,,
64,1956,2375,3912,8590,16622,24026,34362,,
65,978,2375,4260,10686,16203,24025,31987,,
66,1397,2793,6356,11733,15714,24235,33384,,
67,1886,2305,3772,12292,15435,30032,31429,,
68,1886,2793,3702,9987,26470,23886,32686,,
69,978,2863,5867,8590,25353,27657,31988,,
70,978,2374,5238,10546,16343,23886,42743,,
71,1467,2305,4679,8031,16552,23676,31498,,
72,977,3353,4260,13829,15645,23886,33385,,
73,1467,2934,3842,8590,16134,50356,31987,,
74,908,2863,4330,8660,15715,23746,31499,,
75,1397,2793,4749,9917,19416,23746,31709,,
76,1466,2374,3911,7543,15574,23606,38622,,
77,1467,2444,4260,10337,16343,23816,31918,,
78,1467,2445,3842,10406,23956,54546,32476,,
79,1397,2863,4260,8032,15854,23955,57270,,
80,1467,2374,4260,10406,15644,23397,37155,,
81,1467,2793,3771,10127,16203,23886,31429,,
82,1467,2794,4191,10058,15714,28565,31498,,
83,1397,2375,3841,8102,15435,22978,30521,,
84,1397,2863,3772,7543,16133,23466,58178,,
85,1467,7543,6216,8521,16064,23886,31498,,
86,1397,2444,4819,10476,15854,42813,32407,,
87,978,2444,4749,9079,15365,23816,58387,,
88,1397,2793,3911,9917,25771,37994,32406,,
89,1467,2794,3702,9708,16692,40159,45258,,
90,1467,2444,7054,9638,16133,34292,31778,,
91,1466,2374,6286,10337,25841,23606,45676,,
92,1467,2863,6565,10476,16273,42604,31499,,
93,1885,2445,6076,12223,15645,23397,32127,,
94,1466,2933,5377,8171,15715,23467,31009,,
95,977,2794,6565,10616,16203,23886,32476,,
96,1467,2863,6635,9428,23746,23955,32896,,
97,1467,2864,6774,10477,15225,25353,47143,,
98,1397,2934,4819,10057,18717,24305,31987,,
99,1397,2933,4260,7753,25213,24305,31917,,
