Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000
0,6146,33943,74381,201215,426873,674881,899074,3092246,6574627,9704797,13959002
1,5727,34781,75150,208897,708755,667548,2349548,2405352,6318099,14515012,11513071
2,6845,33524,80737,189201,407666,667827,1067812,3363651,8097388,7979496,12393148
3,6635,35270,72845,192764,440004,647293,1294099,2444882,6307063,11787690,13578364
4,6634,36039,92820,196116,415977,662031,1034078,2620046,5458696,9535990,11700318
5,6146,34362,73544,199887,613839,631579,1258340,2432171,5599218,10025581,12363675
6,6774,33385,72565,203380,401032,646665,893905,3706225,7167096,8253835,15597072
7,6635,34851,71169,192763,401660,741580,1097914,2600419,5768863,7953864,10778266
8,5657,35689,73334,291660,402568,660564,898025,2633106,5134560,8968665,11778820
9,6286,33873,83461,198491,408295,669154,892578,2548109,5544601,9673369,11685860
10,6635,34362,75010,189062,462282,664265,889156,2888866,5162217,10437228,11762547
11,6146,33803,74032,190389,768889,648830,904312,2426933,5184986,8975650,11536329
12,6146,36667,71797,196396,670551,645059,914020,2881044,6268232,9947917,11167145
13,5797,33873,74521,195137,468149,666850,910947,2464508,5655021,9287633,10749491
14,7124,33385,75988,193951,713504,658259,886013,4295061,5077289,8698517,12782726
15,6704,34781,74871,194650,419889,656582,914788,3917426,5195113,9688664,12651144
16,6216,34851,75290,207011,411857,1003976,1380214,3236189,5068210,7828079,15756311
17,6356,35968,76896,397400,415977,986864,1362754,2703576,5185754,10029074,11206816
18,6635,54826,108255,229360,415489,988960,983163,4782278,5152369,10005047,14331538
19,6565,33664,127322,205754,470455,672786,898375,2501384,6117374,7899387,11443859
20,5238,33385,80947,197093,640450,656583,892368,2641696,6084967,9670086,11522291
21,6356,31010,74521,189621,455508,643243,902007,2805546,6284994,9127276,12228601
22,5657,32826,210084,194439,454181,675790,1377350,3574293,4953251,10731961,11231330
23,6566,34851,90934,196953,460816,646735,1370925,2572484,5206148,8614009,13996297
24,8032,34292,72146,194649,423660,668595,870019,2639462,5128763,8985497,11574532
25,6775,34851,74102,193391,424917,664545,919188,2997750,5307697,9112889,14668384
26,5727,35829,74660,202192,412346,644360,893207,2894244,6059754,7813622,11549879
27,9499,33943,70680,302834,418632,629973,1106294,2499080,6152504,9105136,12478146
28,5797,33874,74102,196953,602804,810863,928826,2784733,7853990,8890163,12508946
29,5587,35270,74451,189690,423940,633954,1000204,2497752,6373134,7896594,13384413
30,6704,34152,72915,192764,412835,747587,929804,2985179,5474201,9352446,12147026
31,6565,34363,71169,192065,420587,694786,894324,2555372,5709497,9331284,13519627
32,6286,34781,87023,190808,423172,671738,936998,2714681,5094960,10864521,12646325
33,6635,31009,70960,194160,1037500,665662,872673,2434267,5115353,9921727,12389726
34,6216,34082,70680,190598,410880,706170,898096,2618719,5725631,8925503,12621811
35,8171,33874,73264,193252,407807,639960,879448,3408141,6057519,10423260,12787685
36,6774,48400,101969,369324,488334,686824,876305,3662295,6034611,9090120,13207434
37,6984,36317,75010,195837,449362,706590,892229,2477079,7070434,9358382,11183698
38,6635,85417,92541,199049,454670,645338,1531002,2889844,5780038,7790783,11462716
39,6216,57759,73823,194789,409972,653510,1625218,2379720,6845404,8793711,15751841
40,6635,58318,72915,194649,422962,717345,899772,2626751,5974337,8521049,17506337
41,7543,38134,73962,185500,427292,632068,930084,2735354,5196719,8761235,12749342
42,7263,34781,73893,197792,537084,635350,908013,4057041,5123944,12152962,13761559
43,6146,33454,70960,197512,408086,717206,934344,3272089,5161170,9144317,11640743
44,6495,36178,72985,198421,408365,647853,971988,5066255,4994946,7925648,13286285
45,7124,39391,97289,193951,412974,659656,883708,2534070,5090559,8808587,13255066
46,6705,56293,84788,250243,474994,659447,879448,2967299,5120312,7756002,14312960
47,6146,61531,101690,242909,817358,640659,906407,3126189,5129112,9157098,11432055
48,7194,55245,72985,194649,754501,664265,940908,2619906,5164242,8114499,11115881
49,6216,54407,76198,191925,744932,664056,887828,2530718,4972456,7806009,13970665
50,6216,52032,72705,187315,742069,655814,899143,2989508,5187011,7758586,10853416
51,6285,53150,75290,192064,744234,648202,889016,2466533,5073797,9995410,12838599
52,6565,54407,75010,200167,417235,662519,903823,2874619,5056826,8823324,12559651
53,6705,53499,75569,190319,432810,663847,902845,2389218,5119753,11329387,12000428
54,7193,53778,75639,225100,418073,670970,1001322,3502147,4996692,7862581,11000363
55,6565,53289,71518,271754,416606,651554,886432,2384749,5344434,9136425,10972077
56,6775,53080,71029,300599,509077,668875,887899,3057046,4994527,9954203,12401669
57,7123,54127,122573,297736,421006,655955,889226,2485042,4968546,9769750,13206665
58,8661,52800,75011,298015,413115,659167,1318683,2677106,5249379,8269409,13474229
59,6635,53010,69702,298294,415559,766025,898166,2391733,5139309,8327587,11751163
60,6635,52032,75918,306047,450689,640938,965423,2663068,5101245,10083829,15289138
61,6286,52870,73753,298643,602456,655256,1081221,2422044,5145316,11908028,14345297
62,7124,53010,73893,299970,440493,905499,927289,2923787,5174858,9929688,11986040
63,5308,52940,67816,299133,428340,642335,1067951,2467860,5247145,9989753,11213520
64,6635,53639,77245,308212,427572,655884,913601,2862956,5924401,8748244,14498110
65,6565,52940,75359,432391,585414,659446,947195,2657690,5764044,8575176,11935754
66,6635,52102,73543,218185,434625,644081,937836,3009274,5044045,9862011,12424438
67,6705,54057,72077,232364,427362,647713,903124,3857433,5038527,7740986,11460690
68,7194,52940,72495,238440,425616,646735,989169,2964016,5083506,9439679,12951743
69,6705,52033,73544,233901,428479,656164,915277,2513676,6156275,11873176,12600509
70,6635,52870,75918,225170,925474,658119,960604,2845495,6505694,9269753,12876733
71,6286,51963,72984,239836,738297,647015,928337,2724459,4985029,8501353,11477243
72,6146,53429,72426,224750,672647,645059,898305,2448723,5027702,8467690,13497068
73,6007,53359,77804,193741,699046,656234,1054541,2418412,5071353,9722816,11334835
74,6635,52940,75778,195138,789352,721186,908502,3896893,5108858,8328006,12549594
75,6286,52940,73055,189341,714970,664126,916115,2700782,5058432,8911185,12425904
76,6704,53150,72426,215392,734386,661612,912344,2724948,4962330,9351189,11124402
77,5727,53359,71587,205754,695276,659237,963468,2471701,6597467,7981871,11512234
78,11524,61531,73962,195487,705402,643523,906965,2977845,5182542,9670994,11027252
79,6565,54407,75289,199887,975341,710919,1204562,2372526,5015759,7739938,12983800
80,6076,53290,73823,195627,695974,665033,893277,2576464,5588113,8998208,11588361
81,6286,52801,75290,192344,689060,641078,1010890,2402558,6465674,9412510,13613983
82,5797,54406,73054,193182,453203,677884,894952,2704903,6589854,7878015,11350271
83,6076,53569,72426,199748,450480,654906,907943,2433009,6005697,8791337,11423255
84,7123,53289,75010,190947,761904,651694,1565085,3381181,6268022,7865793,14653857
85,7194,51613,73823,195627,746609,676279,885874,2385097,5791282,7852384,12374500
86,6775,52172,72915,192624,749053,652392,988751,2579048,5695529,7800421,12569638
87,6286,53290,75708,200865,675230,673973,897258,2421485,5633160,9007148,12023755
88,6635,51613,75499,195906,641567,673694,983024,3098531,5132953,7803984,11103659
89,6216,52801,72775,193112,433298,660633,891461,2384330,6048859,9245029,13885528
90,6286,52800,72146,190808,512150,656024,958858,2572762,8233021,10722742,14659794
91,6635,51543,72356,194649,424848,659377,898934,2394177,6122961,8217447,12491276
92,8521,51962,76686,198979,414162,655535,916394,2633106,6178764,9671762,11537865
93,6635,53150,74940,190808,635491,664475,899772,2448374,5339126,9794405,11117488
94,9918,53010,73334,231875,441679,696951,1056497,2942296,6375788,9437233,13518299
95,6775,53009,73124,191576,430994,643941,885524,2519404,5035803,11562799,11397693
96,11385,43371,75918,201842,470943,642125,924496,3795553,5422588,7916778,12363955
97,6775,41975,106300,190318,624315,705821,886153,2405561,6352810,9182101,10796145
