Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
0,1886,6565,13759,30102,64743,101969,128299,347950,620193,924422,1237802,3619957,4587611,6453219,8395373,9810152,10887179,12399109
1,1466,7124,14457,30521,64394,99594,129835,322458,756035,1059846,1235288,3052005,4711859,6080125,7689275,9171382,11157606,12575180
2,2374,7124,13689,30032,66419,104553,125645,316522,629761,1110760,1235636,3067440,4732044,6110157,8067606,9635619,10868671,12589288
3,1956,7543,13758,31498,63416,101200,131233,320572,609368,1154690,1506343,3047885,4571479,6413269,7657426,9144912,11289327,12328918
4,2304,7054,14248,30032,63905,103994,131652,327068,612021,1233123,1532463,3359028,4750273,6091998,7926596,9530787,10891929,12495211
5,2445,134375,13829,30102,65791,102458,140311,329862,633043,1293535,1467859,3059828,4791689,6115046,7627884,9133737,11005421,12191889
6,2864,7264,14108,29543,63905,163988,131581,339151,638002,1282850,1396901,3074564,4620088,6460482,7619643,9581492,10670671,12504919
7,2375,6635,13270,29823,63625,103086,128578,343551,638701,1302545,1524502,3459461,4890654,6117142,8139543,9177738,11016386,12209140
8,2374,7054,13689,29543,64394,101201,128648,332655,643590,996360,1459130,3052634,4834501,6176856,7599738,9344658,10855680,12505478
9,2864,6635,14318,31988,80946,108813,130953,326579,635628,1108944,1303732,3046488,4562120,6304037,8032266,9163629,11209149,12251604
10,1955,7124,13409,30800,64184,103436,126622,317709,639120,1185421,1544126,3077428,5091658,6109738,7666366,9747854,10868531,12590894
11,1467,6845,14247,30521,63905,103785,127811,317151,635628,995172,1470235,3273683,5155633,6131389,7809751,9269719,11116888,12220664
12,2794,7124,13200,30102,63416,103785,126902,325880,638002,1140582,1413104,3065416,4586005,6367034,7658334,9784591,10755458,12461268
13,2374,6775,13689,30800,65860,94217,124946,307722,642962,1245275,1574438,3051028,4574202,6091859,8001745,9105800,11279759,12206416
14,1956,6704,13968,31499,62928,92051,129905,319106,638421,1180741,1478894,3259156,4831847,6103104,7624462,9564590,10697490,12393033
15,2444,6286,13340,31010,73823,90165,125925,325322,644917,1287389,1607194,3039504,5271919,6362983,8108533,9149801,10832913,12217311
16,2445,6635,14248,31010,62928,99733,125505,310445,636606,1181928,1326850,3030773,4578253,6092977,7654843,9565568,11586503,12466576
17,2374,6845,13828,43511,62858,90585,127391,330211,640307,933502,1226348,3051586,4568405,6106595,8115727,9137439,10668157,12363211
18,2375,7193,13969,31010,64674,92051,126274,332445,640656,986930,1430425,3039015,4800768,6407542,7803395,9527853,11145732,12443389
19,2444,6286,14457,31988,65302,190388,129416,312680,636606,1192265,1452984,3231429,4630355,6126430,7624461,9124658,11035033,12340582
20,2374,7124,13899,31219,63905,95822,122083,317290,630669,1194430,1478546,3044044,4617433,6103801,7981073,9742686,11220673,12586145
21,1886,7473,14527,31918,65372,94985,130254,309398,632625,1207211,1547200,3045999,4595853,6609664,7636823,9138906,10782347,12538932
