Size,100,500,1000,2500,5000,7500,10000,25000,50000
0,10267,157423,616003,4166888,17239135,37195944,65284617,422383313,1755388208
1,8451,155049,600777,4119535,16464172,37370129,66167066,426841230,1795440046
2,9499,154838,593933,4588871,16666155,36834724,65659877,418471696,1754670029
3,9499,157981,607832,4333111,16241797,39274359,65473190,419700070,1760842419
4,9080,156934,590091,4636433,16284540,38415239,65655058,422521251,1749391755
5,9498,154769,591838,4453797,16662732,36712850,66249130,420165564,1762019321
6,9429,159867,611882,4525175,16418007,36575472,65862626,423585915,1789452603
7,9009,175791,598124,4126240,16220984,36974686,65337348,438686991,1758512229
8,9638,155328,595259,4132037,16381829,36355331,65603864,426628215,1793277130
9,9498,154909,617190,4165141,16408998,36877327,65713725,428353091,1786403253
10,9499,174115,597075,4168075,16713437,36935365,65487228,421795737,1758117627
11,9498,160216,596098,4142304,16540160,36785276,65928697,421972156,1773318157
12,9638,158401,710149,4133224,16512853,36729613,65806544,423064549,1733209401
13,9778,156165,611184,4325009,16429950,36708799,66424991,415556301,1798674282
14,8940,156864,604409,4391219,16380781,36382010,65254656,423843841,1798568333
15,9569,159519,617679,4609963,16383227,36767606,66645830,428810764,1775915569
16,9149,162311,598822,4221155,16454814,37292465,64882260,420078053,1770144142
17,9708,154559,698346,4508274,16685081,38177428,65146192,427436003,1771654117
18,8521,155607,596167,4195034,17794724,37210123,64795448,411246307,1774282257
19,9499,156865,596168,4338628,16406902,36627853,64934921,416460051,1774641942
20,9219,155537,634021,4222622,16394960,36785974,65433590,408907942,1759784545
21,9638,161753,627247,4201669,16455582,36892064,65294675,417613624,1791149558
22,9568,160636,619774,4339466,16858009,36892413,64865917,418557183,1753154486
23,9359,165036,644149,4234634,16317785,36690570,64750819,415331062,1773587617
24,9080,162592,628784,4197059,16719723,36504094,66200870,406736497,1747729544
25,9708,175791,635069,4148799,16470808,36650063,66514388,418745336,1793084382
26,9569,156655,635488,4157669,16966612,36749447,65193754,420749440,1746130104
27,9359,158960,635977,4207256,16425900,36690989,65230072,427307984,1773485442
28,9639,160566,600149,4119535,17422749,36736387,65787616,426636247,1772149932
29,9079,156446,600358,4194475,18260778,36232689,64759828,426306525,1753947753
30,9568,185779,604967,4150405,16452858,38297067,65042477,425201492,1814858894
31,8940,190248,599869,4448000,18108034,36692596,65251373,424010553,1768435969
32,8661,190458,618378,4230723,16664688,36665916,65271558,422014342,1751787485
33,9428,184242,609367,4154386,16565932,36837657,64530538,423130969,1775248877
34,9499,188782,610904,4200202,16374635,36151604,64829181,420335071,1752892590
35,8940,175512,626409,4154107,16571239,36321528,64403776,419363226,1776224565
36,9149,180052,607622,4137275,16580389,36868737,65064757,421886113,1750294974
37,9988,164756,613628,4154176,16501537,36430132,65872684,420391992,1786400134
38,9010,167899,598682,4198247,18046573,37344777,64952381,418561724,1797389078
39,9010,161963,600568,4158646,16299207,36748540,65389660,422410064,1765950663
40,9009,182147,612091,4183021,16375823,36689035,64599682,431779521,1762148988
41,8940,184032,639470,4144609,16467246,36594259,65112039,421671979,1751818141
42,9569,185988,637654,4197758,16840758,36816285,65222878,418248764,1795152128
43,8940,189899,705400,4177713,16547005,36776127,65112668,418097347,1768466058
44,9498,187315,604479,4100189,16369398,36168156,65604283,416031155,1746614772
45,8660,178445,603292,4133364,16333290,36941651,65784265,422131397,1814544181
46,9219,186267,604549,4138811,16467944,36806788,65454962,422052127,1778551367
47,9010,182566,599241,4329060,16414655,36608438,64958737,420914267,1793899471
48,8242,191855,609577,4170310,16255626,36597961,65205069,422951616,1756848557
