Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
0,5378,30032,52661,151626,345228,702189,779574,2372384,5873062,9357466,13843890,49244643,93981283,141491619,198574262,259878005,330539366,395940746
1,6844,27238,65791,152115,363246,551051,774405,2447184,5673454,9278894,13581285,49058375,95298707,144154685,230947447,262968783,325508804,396372088
2,4749,23956,50984,150439,348231,586391,786767,2343260,5665073,9254101,14341512,48822100,92275188,152472348,199578935,263078015,331765509,395566533
3,5168,23816,56223,164268,346555,547839,774684,2384118,6394570,9395320,14270064,47058596,88866283,138492546,210934714,261409147,333466085,394624509
4,4819,23606,68026,150998,343900,560480,774964,2411495,5775144,9602610,13695197,46991618,92655547,138148435,200428770,261929328,328258615,397140419
5,4679,23746,51962,151766,356053,589115,877002,2359324,6509530,9286786,13507322,46520815,88885979,139071813,197347143,258197823,326474089,392780896
6,4889,23816,52451,151976,346275,550632,768119,2395921,5605429,9400209,13498173,45515374,91065250,140623976,205413445,258135595,323070840,395849744
7,4749,23886,62858,150160,349139,545045,891530,2390683,6043057,9222812,13080171,46012647,91049676,140071039,197260818,257150547,327585271,395583856
8,4819,23536,52521,150509,344390,816310,777757,2360861,5801684,9235872,13099447,48946978,93717910,140050365,199000926,263533663,323873392,394200500
9,4680,24374,53289,151836,563972,554054,875256,2368473,5605847,9399022,13086247,51917556,93628372,145021491,195718433,259392257,332132249,393851781
10,4750,23886,53429,150090,348370,575077,764976,2539376,5542361,9293002,13285226,55867665,89509246,137974250,195551512,262408653,327688428,391312545
11,4749,28635,53080,156516,340549,560899,770913,2368962,5595580,10030181,14108870,53501148,93994483,140062029,199323455,259626437,326989452,401273656
12,5657,23676,53359,151697,347812,545464,761345,2470861,5702997,9622306,21937151,46161410,92026902,142885451,196860905,259629021,328962971,398932770
13,4819,22489,52381,150719,347254,547629,770075,3161317,5616114,9501759,13578212,46302839,89796854,138984790,204122282,258027480,329623185,399536761
14,5238,23886,52451,230688,347742,550842,770284,2379438,5605708,9260177,13624308,49514163,90303556,216365951,197948201,259970548,325445531,390832524
15,4680,23747,52381,188922,346345,595541,845015,2379299,5682394,9201300,13570739,52340728,101988778,172206133,203865473,268986629,330023797,396375724
16,4330,23746,51613,152884,346694,847879,777828,2578627,5593974,9256405,13779356,56291395,95093233,148843023,198454694,258630634,323633347,400000162
17,4679,24025,52381,152535,347742,550842,774684,2355273,5600888,9658554,13609292,50476512,93691300,138131883,194865317,264075358,326881128,391288800
18,3772,23746,51962,151278,349767,554684,785999,2376016,5872293,9337631,13196387,51960858,93729154,139310742,195114093,260320875,333215986,384581128
19,4819,23816,52032,152604,345019,550423,870019,2429026,5616183,9398183,13523177,64566175,114109812,139625868,199903072,257665771,328022972,391210997
20,4261,23955,52032,150858,347952,550702,779084,2354365,6759214,9183700,13004392,51250289,95428683,147973703,198256833,258111152,337681667,398723666
21,4330,22908,69771,151626,347532,566487,772031,2439572,5613320,9240830,14319513,64129105,101755995,141956557,195994589,257668705,338709598,389092767
22,5796,23467,52381,150439,389997,553286,757923,2928045,5634832,9300615,13497266,71581429,98596565,137878288,207542852,266575693,336599051,399882411
23,5657,26749,52032,151627,349419,558524,845016,2364143,5560310,9847406,13446141,76798328,118937553,143165169,197880595,253690589,332855883,391191512
24,5168,26261,52381,150508,353888,807440,779574,2396619,5760826,9193617,14127867,79231055,103803895,146956877,206525188,260138099,330617454,403440500
25,4400,24864,51892,149671,344879,579966,796964,2371267,5600819,9365358,13362471,75048023,95135907,148037748,196577208,261897833,324471170,392813099
26,4261,26121,52311,150229,342364,549934,780900,2383838,5680996,9467397,13401373,77216888,90280928,144158738,196597952,257410501,327746680,395246944
27,4330,22769,53150,152534,344879,547629,898794,2396340,5610107,9267720,13032608,68922414,99374672,138299853,198788329,260240000,323069657,394637437
28,4191,24096,51892,151626,345088,594842,777827,2385864,5717804,9484508,13292210,77324445,94093170,142334052,196702225,270711862,327233343,396482935
29,4400,23816,68585,150998,345926,553706,773148,2364003,5595162,10367029,13051186,72136531,100421949,143856392,194399753,262516841,326901804,399085379
30,4190,34851,52172,161265,348301,547000,780272,2356949,5570787,9497918,13435665,71472545,96501871,143832018,196425443,260274781,325965646,391896078
31,4820,22768,51822,151138,345367,551400,779573,2376435,5604869,9538008,13793884,68235730,106812887,137000168,198416841,257600261,328289490,388378917
32,6146,24095,51683,151417,345158,735713,790399,2367286,5839189,9952448,13668727,73182969,94599592,138576916,199005956,263174121,330603209,403030741
33,5168,23816,56711,162941,344669,565439,870996,2465065,5606685,9645843,15584835,73954651,88820607,141136476,197948762,265355979,324330302,400540184
34,5308,23397,52521,151277,346834,563204,776570,2428398,5585943,10312831,14209721,67842590,90983745,143652455,201283356,260584320,330276489,402193478
35,4191,23327,51892,151627,512638,553007,772240,2366797,5678623,9254030,13439436,88270112,94194161,143434340,196191055,258284292,326738795,394550485
36,4330,23397,52382,162661,386225,543649,785650,3109494,5780521,9432197,13376230,85537555,89204457,135479923,201807588,267361136,328031566,403102679
37,4749,23886,51543,151627,345647,543578,781180,2949417,5611714,9221693,13183047,61261893,92447209,138565671,198232319,263199614,323432347,394311068
38,4889,23257,51404,161754,338174,578220,771262,2349057,5911405,9712471,13098958,56194036,94941118,144196034,197849448,254303242,328655742,394303945
39,4819,24166,52032,151696,345856,563413,793542,2331945,5551789,9546108,13142190,49140090,89706270,137752644,197995975,261164985,330337043,394361565
40,4888,23537,52871,301646,338803,832723,773916,2477357,5667587,9172944,13296540,51326975,90543044,145831518,194777249,259943313,330097346,397454158
41,5238,26749,51962,189481,339082,549585,777129,2364632,5803010,9977171,13445652,51366715,94705752,148473282,208192032,258995142,324914321,388787214
