Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
0,9919,9429,20884,55249,82907,129564,173778,744839,3285213,2717295,3885193,8893441,9696953,11192847,17885678,19995319,22293156,25546589
1,3912,13620,17043,50988,81790,126771,168260,856034,3654071,4137966,2934936,8646326,9640517,16092485,17765156,20323952,23563625,28716578
2,2933,8102,21094,61255,106516,142276,349510,780740,2052779,2252539,4894679,10373690,11277782,18813505,17598076,21260995,22696171,24857337
3,2933,8102,18509,49451,85631,2505452,168818,754618,1453568,2767514,2618113,7828496,10504445,15032972,19160811,23782818,24619711,27735644
4,6705,11385,17601,52594,82628,230493,190680,604170,2478700,2095804,5396942,7148614,10143340,13990969,15295522,21063534,25419567,22194774
5,3352,9080,18160,50010,96737,186908,299082,615135,1367378,2510480,3501039,7578797,13946394,16924540,18318222,23790659,26137528,26982566
6,2863,8521,18510,50639,81930,245090,181250,4351973,1947381,2552318,3789294,7303952,11492279,13506451,15769106,21010830,21035525,25484407
7,2374,216313,20115,42117,84513,1283214,189423,774803,1348869,2185695,3178419,6697618,12137937,16137277,18268435,27508827,20978764,25963136
8,10408,8522,18998,46168,80393,142276,183347,757062,2477513,2184159,2593318,6246691,12941797,13980999,19506143,22244039,20589744,26416166
9,2375,8172,20046,40930,257733,167281,164278,518678,1223914,2076456,2956658,6950880,13973983,17029087,16310911,25730985,24759005,27306557
10,3352,7124,18649,63420,86260,129844,230632,686029,1600943,2549524,4106674,5637423,13060256,14144949,16438780,19089498,24794566,24346633
11,4330,8591,16623,57064,92057,130752,171263,679463,1354107,2016249,6281194,5612837,9966420,14053771,16786382,22799273,20629004,24755528
12,4190,10477,18020,56226,93943,131521,162951,627359,1608417,2112637,2542260,7470326,12967291,15938570,17360433,21120304,28205262,23929664
13,3841,8032,17182,57204,81301,145978,390300,661303,1627135,2001302,3615237,5722217,12207365,15956585,16795754,21019749,22473651,26789126
14,2864,9150,19627,46308,84514,158551,214707,509318,1412010,2361777,2495254,6324080,18279930,12477684,17436422,23943123,24900884,21100256
15,2864,8452,25354,47775,85282,151286,217920,628196,1633143,1841004,3069878,6952766,12887457,13530094,20992179,20706579,20753974,42152209
16,9569,8521,38136,47356,85911,125024,339871,592645,1613027,2327833,3178279,8100827,11087102,14353687,16980324,24128819,25982394,24396536
17,2375,8241,25843,46867,80044,129356,189213,597813,2345294,2178012,3819467,7708850,15409532,11959719,16524699,21307831,19282688,25887308
18,2794,8521,24865,49241,83466,264298,238595,624145,1186127,2473532,4532386,7077092,14555313,15813686,18047026,23192978,20716004,23044349
