Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
41,905587,7666342,31011,117778116,217972781,4325322,68726,152259,434215,5189003,16135883,254997,279373,18509,37087,9987,2793,1466,1397,91285,14806,380716,53500,754307,31989,34836410,27728,64326,2023218,23398,166646,286999347,141339947,22909,30592,255208,53361,5727,2933,244172,15182453,21023,15651520,107768,1397,5308,110841,154703,44280,15687421,333851,368633
42,759615,7015893,30452,121145747,218758727,4296687,70122,146322,296764,5562525,19118329,391751,551761,18090,35271,10895,2933,1466,1466,96733,15855,501684,38973,447765,30312,34706572,29124,60973,2101164,24306,168253,292465837,141139567,23467,31500,254229,52872,5797,2793,248992,14861524,20883,15307822,106441,977,5657,123413,190253,42535,16452762,527595,151769
43,991146,7381592,30312,117438538,218520841,4244164,74173,124601,238305,4786357,15705090,221404,374150,18299,37297,9708,2445,1397,1397,95406,13271,604423,24934,444482,30452,35757154,28636,49309,2047175,23537,163922,292091897,138492019,22280,32128,268966,52453,4261,2864,422342,15443388,20953,15792255,111749,1397,5238,140106,189834,43233,16250706,299278,136404
44,909010,6992495,155471,130731871,221648910,3859747,70053,115870,234813,4363526,15516234,234534,343909,17810,36738,8940,1467,908,1397,140525,14458,668609,18648,610500,30382,35168864,101622,48122,2625198,24864,163224,296356316,137957299,22699,31010,270782,52173,4261,2864,254299,15738964,21163,16085527,108607,1397,5308,116289,179846,40648,15807131,238654,132213
45,1105759,6727021,42116,170190506,216173130,4205610,69285,112168,302421,4889795,15669959,228946,276998,19975,35201,10966,2794,1886,978,164691,15156,563565,18509,445879,30032,32911600,113006,49728,2854144,24515,162665,291141261,138013034,21861,111190,207993,54059,5169,3283,251435,15192930,20255,15658296,105533,1397,5239,117197,354245,42604,15804268,287195,130188
46,1172808,7019455,35760,119635736,216650299,5039678,68377,111609,233835,4768966,15574204,247734,271970,18439,58878,19487,2864,977,1816,400202,13899,548199,18229,433726,30451,32426260,53150,48052,2175268,23607,161827,291556758,138029377,23327,93241,347680,221543,5308,2863,249690,15972450,20324,16730389,104765,1397,5239,114054,163364,43303,16981336,271131,126835
47,1767453,7036776,38064,122107978,216706523,4221674,69494,114613,236279,4645274,16141610,317717,402646,17740,229854,10128,2934,1467,1466,191789,13270,618322,17182,436380,31499,31220277,40858,62020,2109196,23397,370658,282385014,137808324,23327,52103,219377,79971,4749,2933,249271,15165970,20115,17468493,97012,1467,5728,290967,154982,43093,16184634,257163,127324
48,1512665,6942487,40020,123890308,214067008,3932104,66770,112727,236629,4754788,15809436,242007,349356,19626,36249,9918,2375,1396,978,146950,12991,471721,18020,610500,30382,30571503,37226,47214,2193218,23467,234464,282698750,135958666,22839,41138,214488,101063,4261,2863,251366,15125601,19975,15832763,134937,1466,4819,137941,147788,42813,15890594,252274,125578
49,890152,7225911,29544,122701646,215054661,4136955,66770,110772,403135,4599108,16002693,188926,337623,18020,35340,11035,1955,1467,1955,98199,19626,435752,18229,447067,30522,31068018,35760,47842,2447517,23887,198844,288158746,137043960,22908,58738,206177,93590,4680,3702,260934,15696220,20953,16938871,132214,978,5238,135356,147858,44490,18409072,252414,126695
50,484,645,193,976,1095,600,324,359,405,612,131,227,48,249,209,193,81,13,43,339,218,120,252,307,192,790,289,148,548,264,383,1162,1002,268,297,49,153,153,114,410,160,273,69,114,0,169,197,363,289,164,375,85
51,15,16,7,15,16,13,11,12,15,14,5,7,3,10,8,8,4,2,3,13,9,5,9,8,7,14,12,6,13,10,12,17,16,11,11,3,6,6,5,14,6,10,4,5,1,7,7,14,12,5,13,4
