,10,100,1000,5000,10000,15000,10,100,1000,5000,10000,15000
Append to linked list vs array,,,,,,,,,,,,
n,llist,llist,llist,llist,llist,llist,array,array,array,array,array,array
0,357,3423,36372,215429,520918,906737,17,17,13,37,65,102
1,343,3419,36845,213397,510302,907392,16,23,14,38,72,101
2,389,3483,36668,215002,528451,905101,22,19,18,44,67,120
3,342,3406,35940,215819,507678,907957,17,20,54,50,67,823
4,366,3432,36272,213487,507162,917000,19,22,345,37,67,133
5,339,3431,35760,214173,507068,899318,24,22,14,40,167,93
6,367,3406,36268,214441,507483,905021,626,24,14,38,62,84
7,356,3408,35763,213817,515400,899503,19,534,14,38,62,349
8,340,3408,36751,216580,521277,909724,16,13,16,45,64,123
9,371,3734,36151,214479,511543,899452,17,14,14,362,64,118
10,356,3690,35988,214122,513995,901579,16,14,15,37,64,118
11,340,3611,35832,214798,513436,902876,13,13,16,35,66,480
12,374,3409,36357,214833,510105,903745,13,14,13,37,429,151
13,359,3407,36255,214896,513391,907272,14,14,14,38,61,136
14,346,3444,36592,214951,509672,905698,11,14,15,37,118,139
15,338,3453,38180,218345,509702,903156,12,14,14,43,66,387
16,361,3431,35888,218872,512667,923916,12,14,16,56,59,129
17,339,3436,35581,215331,521256,900384,13,9,11,80,90,133
18,339,3397,35756,217437,516002,893653,10,16,14,38,144,134
19,360,3503,36493,215183,512399,903197,11,17,15,315,62,478
20,344,3567,35922,214210,511767,908102,11,14,15,35,54,88
21,344,3406,35702,214061,516427,900720,11,17,16,36,53,77
22,338,3437,36274,216864,514603,897952,10,14,15,34,52,78
23,338,3702,35829,215113,512194,904065,11,13,44,36,51,334
24,368,3413,35700,217547,514127,917893,10,14,100,36,77,102
"
",,,,,,,,,,,,
Append to linked list vs array,,,,,,,,,,,,
n,llist,llist,llist,llist,llist,llist,array,array,array,array,array,array
0,173379,175900,205300,347987,517289,689652,14,14,34,41,80,242
1,172740,177480,206616,343258,514446,683519,17,18,15,36,100,146
2,172495,175310,207907,343222,515367,686140,14,15,16,36,75,95
3,173431,176537,208159,343376,514402,683215,13,14,15,34,530,89
4,174024,177800,222696,344374,514026,682991,14,14,15,208,66,110
5,175495,176556,207045,341697,517447,686147,14,22,14,37,56,582
6,172580,175154,207427,344848,514927,687594,15,14,60,34,55,139
7,173414,175193,208788,353267,514934,693143,14,15,218,36,54,122
8,173965,175458,206209,345609,517528,687357,13,14,15,33,56,115
9,173832,176894,206596,342097,522078,689278,15,15,14,31,147,130
10,172650,176715,205436,345171,516728,686371,15,13,14,31,67,95
11,175023,176868,210428,344136,520918,691618,13,14,14,31,54,97
12,172083,174867,207147,345954,511119,685092,28,29,13,29,54,94
13,172264,177651,207459,344425,512390,687906,16,200,15,34,51,363
14,171070,175567,204967,347860,522712,684147,35,226,15,34,52,79
15,173985,175817,207436,345013,516198,690080,166,13,14,311,58,78
16,171745,175534,206479,343961,521737,694381,220,14,11,58,510,114
17,172767,177248,209223,341414,519984,691523,37,14,13,30,53,1756
18,173386,176725,208053,343256,516109,687027,11,14,13,30,50,89
19,173263,175965,211245,341417,515363,694432,11,14,12,28,50,80
20,173658,176713,211059,342960,518514,689486,14,11,12,30,50,80
21,174119,175577,205669,346322,516180,690573,11,13,12,29,83,138
22,174720,177479,207493,343095,516841,688371,10,12,12,50,72,87
23,172854,177953,207251,346766,518221,692312,11,12,11,29,62,142
