repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
91,36,67,80,105,175,211,460,683,0,0,0,0,0,0,0,0
92,38,68,83,94,203,204,450,596,0,0,0,0,0,0,0,0
93,37,57,82,95,171,205,777,689,0,0,0,0,0,0,0,0
94,37,57,84,102,187,198,338,627,0,0,0,0,0,0,0,0
95,38,59,82,91,172,223,532,731,0,0,0,0,0,0,0,0
96,37,58,81,92,170,207,568,656,0,0,0,0,0,0,0,0
97,37,61,81,91,170,246,482,673,0,0,0,0,0,0,0,0
98,38,60,83,93,171,212,519,762,0,0,0,0,0,0,0,0
99,38,57,80,138,174,207,523,612,0,0,0,0,0,0,0,0
100,38,55,83,91,171,214,576,658,0,0,0,0,0,0,0,0
101,38,56,82,90,176,221,414,622,0,0,0,0,0,0,0,0
102,36,57,82,90,174,202,410,623,0,0,0,0,0,0,0,0
103,37,58,80,89,180,207,488,649,0,0,0,0,0,0,0,0
104,38,57,82,92,178,209,521,665,0,0,0,0,0,0,0,0
105,38,57,82,105,180,206,473,636,0,0,0,0,0,0,0,0
106,37,57,81,93,189,216,521,631,0,0,0,0,0,0,0,0
107,37,56,104,96,178,213,422,663,0,0,0,0,0,0,0,0
108,36,56,101,99,174,223,597,599,0,0,0,0,0,0,0,0
109,40,57,81,92,174,209,619,602,0,0,0,0,0,0,0,0
110,38,56,85,181,181,214,458,681,0,0,0,0,0,0,0,0
111,39,57,80,90,176,213,432,721,0,0,0,0,0,0,0,0
112,37,57,96,89,158,224,473,605,0,0,0,0,0,0,0,0
113,37,59,84,116,168,231,446,670,0,0,0,0,0,0,0,0
114,37,57,80,90,175,213,572,688,0,0,0,0,0,0,0,0
115,36,65,82,112,174,221,505,738,0,0,0,0,0,0,0,0
116,35,59,80,112,178,215,404,766,0,0,0,0,0,0,0,0
117,37,60,82,90,174,203,462,667,0,0,0,0,0,0,0,0
118,36,59,82,89,170,215,438,662,0,0,0,0,0,0,0,0
119,38,59,100,110,170,203,589,669,0,0,0,0,0,0,0,0
120,38,57,85,120,175,234,555,708,0,0,0,0,0,0,0,0
121,37,57,82,201,175,227,586,777,0,0,0,0,0,0,0,0
122,36,59,81,91,176,223,602,620,0,0,0,0,0,0,0,0
123,37,59,90,93,174,202,436,608,0,0,0,0,0,0,0,0
124,39,59,83,89,173,204,406,649,0,0,0,0,0,0,0,0
125,37,57,81,93,175,213,446,677,0,0,0,0,0,0,0,0
126,43,57,81,93,166,203,531,673,0,0,0,0,0,0,0,0
127,37,57,81,91,174,208,479,709,0,0,0,0,0,0,0,0
128,38,57,79,95,173,202,570,1127,0,0,0,0,0,0,0,0
129,38,57,81,89,187,196,323,736,0,0,0,0,0,0,0,0
130,37,57,86,91,174,219,386,523,0,0,0,0,0,0,0,0
131,37,56,81,102,178,216,482,950,0,0,0,0,0,0,0,0
132,37,56,82,198,172,228,431,713,0,0,0,0,0,0,0,0
133,37,58,84,93,173,213,465,647,0,0,0,0,0,0,0,0
134,36,59,79,101,174,205,368,609,0,0,0,0,0,0,0,0
135,37,58,83,93,170,197,407,672,0,0,0,0,0,0,0,0
136,37,58,82,90,172,201,427,694,0,0,0,0,0,0,0,0
137,37,57,79,124,176,205,660,698,0,0,0,0,0,0,0,0
138,38,57,83,173,174,203,448,632,0,0,0,0,0,0,0,0
139,38,70,84,92,176,203,723,692,0,0,0,0,0,0,0,0
140,37,66,80,93,167,234,471,619,0,0,0,0,0,0,0,0
141,36,71,81,92,169,260,542,633,0,0,0,0,0,0,0,0
142,40,71,82,98,178,215,551,565,0,0,0,0,0,0,0,0
143,37,68,83,224,172,218,505,624,0,0,0,0,0,0,0,0
144,38,69,85,91,169,208,465,576,0,0,0,0,0,0,0,0
145,37,71,91,103,169,204,591,683,0,0,0,0,0,0,0,0
146,37,63,80,91,177,204,472,765,0,0,0,0,0,0,0,0
147,38,68,100,118,170,202,688,648,0,0,0,0,0,0,0,0
148,38,64,86,105,336,218,495,681,0,0,0,0,0,0,0,0
149,36,63,95,92,166,221,457,707,0,0,0,0,0,0,0,0
150,36,65,93,88,177,204,460,695,0,0,0,0,0,0,0,0
151,38,65,81,100,170,207,371,702,0,0,0,0,0,0,0,0
152,36,66,89,91,168,198,476,684,0,0,0,0,0,0,0,0
153,37,64,81,91,172,209,535,815,0,0,0,0,0,0,0,0
154,37,64,93,230,176,206,641,754,0,0,0,0,0,0,0,0
155,36,64,94,90,172,214,495,689,0,0,0,0,0,0,0,0
156,37,63,92,93,163,238,431,750,0,0,0,0,0,0,0,0
157,38,63,91,95,172,239,529,625,0,0,0,0,0,0,0,0
158,37,64,95,98,173,218,418,641,0,0,0,0,0,0,0,0
159,39,74,97,91,169,219,511,605,0,0,0,0,0,0,0,0
160,37,65,94,93,175,209,579,679,0,0,0,0,0,0,0,0
161,37,70,96,97,194,204,466,648,0,0,0,0,0,0,0,0
162,37,70,93,90,164,210,448,683,0,0,0,0,0,0,0,0
163,39,68,98,93,186,205,457,585,0,0,0,0,0,0,0,0
164,38,63,98,90,170,234,486,730,0,0,0,0,0,0,0,0
