repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
61,11,94,539,1123,8558,20205,201929,595336,13,116,569,1186,8098,18185,153688,446117
62,11,93,751,1130,8680,20118,199404,593687,13,121,664,1188,8109,17869,145682,431977
63,11,138,513,1382,8379,20207,197520,592848,12,385,660,1354,7679,18396,140244,408730
64,13,94,511,1109,8434,20153,199710,630522,18,119,575,1200,7986,18352,146213,446345
65,10,98,478,1102,8296,20013,197338,582340,16,115,558,1202,7573,18526,145783,412129
66,13,93,484,1090,8653,19881,210601,609161,16,116,562,1278,8320,18015,148812,415170
67,10,94,508,1115,8578,19855,202959,579406,12,123,562,1181,8579,19187,148818,422421
68,12,95,488,1097,8572,20163,207081,588050,16,118,566,1215,7662,18857,144401,431989
69,10,91,486,1131,9179,20270,215972,618339,13,111,580,1248,7792,19059,165363,431552
70,10,92,494,1072,8778,19975,206143,588310,12,110,566,1170,8903,18566,157361,423512
71,10,94,481,1326,8652,20365,221973,587404,11,111,549,1342,7644,18634,153965,445661
72,10,97,566,1096,8439,20351,195432,582702,13,115,810,1161,7876,18772,160257,427379
73,10,141,493,1115,8591,20123,202773,600143,13,354,560,1431,7874,18654,145907,431135
74,10,96,497,1315,8391,20128,203843,623941,12,115,585,1500,7875,18372,145985,428528
75,10,96,486,1139,8599,20911,204192,609052,12,113,603,1353,8002,18870,168610,427325
76,11,92,483,1102,9030,20238,210631,614690,12,108,564,1209,8290,18808,148936,438385
77,16,94,751,1107,8888,20793,202545,585961,20,111,932,1195,9332,18530,145652,430111
78,11,95,520,1116,8971,20696,210579,612049,12,115,652,1346,8235,18098,144114,428871
79,11,112,562,1173,8522,21054,222348,600594,13,118,567,1202,8314,19016,165307,430954
80,11,99,489,1109,8658,20010,210532,584403,13,122,568,1214,8031,18592,162200,418101
81,11,95,502,1289,8606,20314,199061,605127,12,117,603,1173,7927,18347,149966,455903
82,11,93,532,1119,8821,20189,222429,593852,13,110,600,1207,7805,18517,151672,434284
83,13,141,496,1160,8928,20527,213793,599918,38,380,569,1274,7629,18383,162979,419785
84,11,97,508,1097,8840,21075,204589,585429,12,119,593,1225,8268,17979,144885,409632
85,11,94,498,1305,8462,20807,200026,614322,14,114,597,1423,7961,18555,144779,444852
86,11,97,499,1101,8408,20444,203659,590567,13,112,596,1192,7787,17782,162387,444593
87,11,94,498,1075,8491,21260,199467,621932,12,116,628,1160,7543,18532,155746,425593
88,12,99,496,1092,8636,20017,197451,590387,15,119,578,1277,8096,18193,146447,410450
89,11,94,485,1120,8756,20495,195377,578934,13,110,560,1208,8136,18440,154824,409502
90,11,113,502,1130,8645,20442,204221,623428,13,187,559,1224,8131,18897,149476,446500
91,11,96,491,1116,8568,20403,212234,588130,12,115,568,1257,8228,18080,147749,433077
92,11,94,773,1154,8775,20527,205044,588337,12,112,702,1256,7785,18650,154676,429148
93,11,197,595,1079,8710,20185,206854,585865,12,329,650,1188,8046,18302,154482,423702
94,11,99,483,1145,8751,19835,217539,576619,12,130,555,1396,8063,19585,157462,406474
95,11,92,479,1110,8519,19873,217700,612565,12,113,548,1286,8219,18380,148235,442461
96,14,93,559,1410,8886,20326,203404,612023,17,109,560,1340,8208,18919,145286,435086
97,13,94,525,1175,8961,21364,213887,600129,16,111,582,1297,8591,19453,162927,453290
98,10,93,492,1273,9015,20667,199363,601600,12,109,583,1225,8193,18984,156045,422396
99,14,94,497,1176,10412,19639,201621,591884,19,114,568,1190,11723,18127,144422,413344
100,11,95,485,1209,10488,20884,203226,623755,12,112,610,1187,11975,18713,147056,425240
101,12,93,479,1168,8795,20277,199327,605243,16,110,563,1466,11413,19580,158360,453679
102,11,95,527,1291,9121,19631,211787,608392,15,113,580,1252,10379,18206,162226,451588
103,11,159,539,1173,9111,20527,220173,597397,13,160,568,1504,8180,19122,165368,427125
104,10,98,489,1267,9001,20025,202743,629466,12,121,598,1457,8199,18698,149045,449544
105,14,95,553,1172,10331,20411,197460,600106,19,118,603,1160,8675,18878,154661,429407
106,10,95,492,1115,8938,19575,211722,608565,12,118,639,1278,8297,18645,153978,431782
107,11,106,698,1173,11289,18941,195754,598031,13,160,895,1403,8522,17874,150526,423937
108,10,92,508,1128,9004,20134,206147,584711,12,112,572,1175,8604,18215,153393,439838
109,9,93,597,1167,9110,21024,212087,612526,13,112,557,1315,8569,18383,156837,427381
110,10,99,502,1162,9017,20397,202028,608079,13,131,653,1160,8400,18520,145702,455600
111,11,94,501,1173,14597,21273,204078,594086,13,113,570,1177,8605,18355,154622,441080
112,12,92,487,1587,8463,20152,200999,610364,14,112,598,1507,8005,18371,154330,415492
113,10,163,498,1111,8569,20084,201216,590715,11,259,642,1260,7928,18069,145364,417421
114,10,101,483,1112,8323,19506,210095,588375,12,128,647,1239,8631,17494,162987,421464
115,10,95,579,1124,8957,20274,207113,589289,12,126,573,1262,8705,17745,157756,428892
116,10,93,489,1134,8617,19899,211475,622914,11,113,606,1197,8323,17846,162874,445650
117,10,92,475,1303,8751,20217,200471,608283,12,111,549,1216,8235,18773,143541,429316
118,12,93,492,1087,8693,20060,219199,575162,16,117,560,1220,7981,18232,159501,433754
119,11,93,574,1167,8326,20222,198458,586246,13,110,569,1238,8608,19299,159047,419935
120,11,96,509,1098,8653,19530,202008,607483,12,118,582,1197,8040,17660,150201,422765
121,17,94,494,1094,8679,19650,216876,584282,18,116,648,1195,8137,17820,143926,428425
122,11,93,820,1139,8487,19129,225382,601678,12,114,752,1210,7713,19356,160137,430228
123,11,106,501,1186,8673,19918,213191,603570,13,314,624,1353,8014,18324,163972,429343
124,12,91,497,1126,8710,20008,209623,614320,14,111,574,1197,8143,18135,155960,451809
125,11,121,494,1067,9008,19801,215512,575831,13,171,597,1196,7872,17817,152325,424695
126,11,94,514,1084,8658,20525,202703,603102,12,116,559,1249,8051,18672,141952,410930
127,11,97,492,1087,8652,20346,206038,592756,13,118,560,1218,8044,20757,151532,420868
128,11,96,525,1139,8553,20084,204649,576962,13,117,625,1300,8196,18530,145253,427345
129,10,94,517,1114,8770,20250,204514,600048,13,110,561,1181,8714,17831,148961,416795
130,10,93,488,1094,8683,20446,207140,605521,12,111,577,1179,8697,17637,149269,431341
131,11,95,497,1147,8414,20814,206385,586228,12,114,575,1156,8462,18392,147618,425516
132,15,94,508,1153,8661,20333,206677,580910,22,112,573,1171,8814,18078,149949,414103
133,11,161,493,1136,8790,21350,201983,592289,12,333,611,1163,8891,19146,156583,433870
134,11,103,492,1338,8346,21010,212593,592480,12,130,619,1327,7783,18409,155250,408930
135,10,94,484,1092,8474,20390,207152,600658,12,110,611,1185,8014,18453,152292,438308
136,14,95,498,1092,8539,20637,199072,614689,19,114,608,1159,7695,17678,145997,420062
137,11,94,718,1150,8649,21239,207576,717020,12,116,733,1234,8241,18542,155433,422418
138,11,100,495,1161,8710,20516,205981,609896,12,126,560,1193,8308,18238,159038,435111
139,9,98,493,1209,8539,20511,200538,641001,11,126,582,1269,7936,18358,147870,432925
140,10,94,618,1285,8596,20084,202833,608540,12,117,553,1233,7649,18134,148883,441121
141,10,93,494,1125,8681,20198,206943,589730,11,111,556,1219,7946,18248,144475,428668
142,10,97,510,1134,8275,19531,226723,602762,11,118,590,1275,8443,17726,162802,423309
143,15,144,503,1086,8659,20029,203063,640494,19,393,602,1204,9170,18454,158884,466635
144,10,110,486,1146,8552,19680,205866,590204,13,118,558,1354,8312,18531,163991,440700
145,10,94,499,1305,8529,20103,205280,599177,13,118,598,1426,7977,19084,148865,440442
146,10,113,506,1056,8767,19954,209396,606871,11,118,619,1167,8290,19066,142563,417798
147,10,115,488,1140,8612,19845,206987,589553,11,112,577,1179,8044,18277,152033,426871
148,11,92,498,1096,9538,20217,207968,572133,12,117,572,1208,8057,18697,155157,407489
149,11,92,534,1126,8706,20288,216535,604772,12,117,606,1217,7925,19094,157720,412772
150,11,93,509,1077,8773,19984,203276,612771,12,117,572,1172,8915,18709,150371,447011
151,11,95,494,1117,8536,19878,205864,613847,12,113,569,1206,7782,18223,148492,429942
152,10,107,641,1105,9083,20622,201318,598695,12,127,805,1177,8753,18851,149835,421947
153,11,142,499,1230,8689,19929,199728,596076,12,275,616,1225,8392,17718,155026,438934
154,17,110,493,1162,8612,20586,196107,608174,21,149,566,1220,8362,18651,144677,430688
155,11,93,483,1110,9026,20134,202699,579314,12,116,608,1202,8423,17883,155364,436098
156,11,92,492,1282,8890,20563,200685,620396,13,115,628,1376,8491,18223,149234,454659
157,10,104,521,1108,8528,20222,202342,599045,12,130,592,1433,7680,18169,145193,442878
158,11,95,553,1125,9149,20727,200605,609277,12,115,602,1429,8348,18816,148833,431994
159,10,129,497,1166,8530,20517,218446,598669,12,136,584,1465,8194,18410,157584,444012
160,10,96,514,1157,8658,20514,205102,612757,12,124,621,1605,8788,19588,157034,449656
161,11,94,490,1085,9120,20637,199929,584632,12,112,566,1244,8362,18179,157991,431380
162,10,92,493,1105,10042,20327,194997,608759,13,111,588,1235,11055,18235,152978,441918
163,10,166,509,1067,10056,20319,209035,610248,12,361,576,1195,10155,18651,154121,443907
164,11,111,514,1181,8773,20574,200311,608922,12,155,602,1321,8880,18712,153860,428647
165,18,97,565,1093,9139,20854,198258,607970,24,136,573,1227,13822,18336,145642,427852
166,11,91,505,1194,8832,20105,205847,593062,12,110,577,1242,9013,18615,146333,426974
167,10,94,706,1423,8384,20083,209520,608640,12,112,821,1488,7722,18504,150941,423885
168,11,91,511,1109,9502,19668,206149,591683,12,111,611,1206,9089,18257,154741,415817
169,12,94,538,1107,9116,20130,215691,576537,12,120,563,1166,8352,18548,165930,438545
170,11,95,479,1105,8946,19852,211697,586351,12,118,553,1236,7959,18633,148896,418115
171,10,91,543,1121,8651,19763,216959,583648,12,116,605,1168,8020,17894,151504,414082
172,11,112,489,1106,8638,19112,209867,590319,11,116,566,1165,7661,18697,157228,419021
173,18,109,490,1189,8317,20178,211176,586292,23,362,561,1311,7519,18947,155721,438152
174,11,97,560,1076,8735,19926,197648,584838,12,122,979,1141,8348,18600,158743,425355
175,10,93,497,1109,8762,19528,209146,590661,12,111,569,1260,8484,18104,149919,437599
176,15,94,474,1141,8555,20520,204889,584225,28,113,555,1196,8299,18185,152298,413918
177,10,94,505,1131,8752,19819,202598,582329,11,118,708,1235,8886,18296,151886,428262
178,11,92,604,1596,9139,20070,201535,606812,12,117,715,1420,8225,18283,151906,450032
179,10,93,508,1131,8956,20037,205249,605166,12,115,713,1180,8327,18368,144868,431038
180,10,98,527,1181,8848,20008,212226,605040,12,131,661,1227,8763,18250,148628,418221
181,10,101,700,1097,8940,20229,205336,610672,11,138,863,1144,8330,18169,144997,417633
182,11,95,529,1111,8466,20982,206253,596418,12,115,591,1238,8096,18711,146156,425224
183,10,139,491,1133,9027,20606,207405,618136,13,341,570,1172,8659,18242,156796,423353
184,11,94,564,1213,8674,21595,205059,608262,12,120,608,1157,8394,18530,152865,439416
185,11,98,487,1106,8453,20690,202822,587376,11,124,564,1155,7862,19042,150825,421669
186,11,94,499,1102,9061,20589,206113,593183,12,118,725,1145,8488,18809,146412,443571
187,16,93,646,1109,8758,21478,205540,610552,20,112,666,1155,7923,19459,147841,450853
188,11,94,627,1156,8683,19901,202552,620046,12,117,953,1308,8051,18450,152298,458431
189,11,97,569,1596,8903,20147,203565,593367,13,119,593,1316,8665,18453,154915,422118
190,10,102,486,1103,8497,19867,200444,597691,13,158,595,1245,7923,17977,149382,410168
191,10,100,501,1118,8205,19870,200694,589158,12,124,578,1245,8322,18047,147837,421209
192,11,93,577,1098,8645,19973,206685,584856,12,117,565,1182,8204,18447,148581,425558
193,10,143,479,1247,9026,20466,206020,586421,12,394,639,1238,8430,19132,155827,432371
194,12,96,493,1076,8703,19983,216785,608749,13,115,589,1203,8069,19044,147142,435410
195,11,93,524,1230,8699,19726,208540,607293,12,114,957,1202,7949,18149,153450,433584
196,10,125,523,1095,8741,20024,194395,621624,12,168,594,1246,7959,19185,146124,438541
197,11,94,487,1096,9007,20516,205733,593888,12,118,579,1178,8454,19136,153239,423137
