repeat,lookup-100,add-100,lookup-1000,add-1000,lookup-10000,add-10000,lookup-100000,add-100000,lookup-1000000,add-1000000,lookup-10000000,add-10000000
150,18445,17186,18476,20796,19111,20564,21464,21114,22506,21929,25680,26600
151,17562,18294,20216,21071,19558,22084,20276,20025,20882,22192,25561,25457
152,17446,17962,19079,21298,18758,20855,20323,19718,20501,22298,25418,26430
153,18001,18698,18913,20529,18951,20669,20764,19792,21203,21627,25725,27420
154,17243,19960,19158,20119,18728,19748,20769,19979,20288,21893,27058,26724
155,17821,19131,19167,19502,19718,20129,21225,20876,23116,22002,25872,26333
156,18353,17790,19666,19706,19663,19253,20905,20235,21034,22133,25319,26036
157,19635,18099,19709,19447,20267,19747,22569,20469,20960,21419,24643,26877
158,19014,18288,20707,18768,21790,19921,20719,20543,21886,22522,25502,26457
159,18169,18387,20559,21804,20596,20534,21426,20047,21445,21582,26900,27847
160,18129,19668,20399,19540,20212,20009,20565,20429,21193,21262,25525,28891
161,17237,19038,20205,19168,20824,20522,20570,20469,21572,21606,25700,27073
162,17656,18623,19815,19653,20243,20112,22821,20705,22549,23927,25483,26159
163,17492,18989,20025,19743,22172,20459,23715,21025,22311,21390,25391,25780
164,17903,18766,21532,20394,20325,20634,21057,20908,22229,21134,25498,28196
165,18077,17873,19380,20100,20463,20393,21903,20340,22288,21775,25524,26874
166,18641,18252,19934,19921,19803,20291,21047,20269,21696,21468,26104,27502
167,20277,18057,19235,20315,20383,20530,20908,21093,21741,24227,25882,25425
168,18362,18382,19462,20952,20395,20485,20689,20483,21386,22242,27019,26327
169,18927,18865,19422,20571,20846,20833,22147,21288,21148,22411,25448,27094
170,17705,19914,19018,20119,21950,20799,20777,20887,22085,22383,25864,25491
171,17619,19796,20546,21575,20968,21734,21461,20294,20743,22974,27183,30153
172,17819,19164,19227,20839,20312,20504,21522,20024,21381,22613,26034,26852
173,19019,18794,18952,21271,20860,21006,21445,21090,23048,23819,27686,28400
174,18456,19691,19412,20397,20753,20909,22055,22097,22237,23174,25839,26265
175,19280,17818,19135,21306,22224,21325,21185,21372,21641,22515,25549,26302
176,19095,18505,20620,21432,20891,21433,20932,21309,22335,22035,24971,26062
177,18553,17818,19484,22077,20689,20248,20967,21409,22166,21684,26158,26017
178,18598,19017,19760,21149,20456,20501,21069,20839,23062,22608,25575,27970
179,17738,19241,19275,20931,20828,20787,21055,21645,21943,21672,25292,32026
180,19130,19678,19535,20370,20789,20610,23801,21637,23278,21411,25558,25640
181,17688,20333,19537,20729,20778,20788,20980,25016,21773,22164,25642,25147
182,18352,19474,19945,20324,21970,21755,20575,22173,21875,22452,25083,25772
183,18433,19401,21825,21058,21416,21887,20119,22529,21620,22163,25253,26938
184,18877,22174,19625,21427,20954,21119,20372,21478,23297,22443,25050,26653
185,19399,20107,19713,20864,24255,22058,21374,22611,21658,23477,25708,25729
186,25228,23559,20223,19958,21519,21049,20599,23148,21543,22896,25717,27208
187,27762,26420,20294,20196,22869,21858,21862,23033,22122,23357,25997,26326
188,34294,27117,22342,22537,21189,22549,21625,22096,22052,23127,26298,27541
189,19508,22882,20281,23359,21166,22282,21508,22729,24136,23507,25901,26122
190,19552,21369,21365,21173,20742,21619,22269,21759,22691,22683,25758,26946
191,18770,18742,20466,21588,21131,22200,24616,22497,22655,22072,25144,26527
192,20438,19409,20223,22149,21124,22237,23255,21554,22459,22063,28243,27779
193,19745,18619,19889,20995,21781,23023,21640,20957,21974,22543,26609,25895
194,19148,18994,19934,20973,22224,24265,25024,21315,22388,23303,25689,26340
195,18788,18847,21869,20618,21665,23331,21313,22199,23524,22887,25559,27395
196,19251,19398,19751,21492,22332,22952,21342,21558,21792,23550,25799,25959
197,19452,23534,20427,22077,21211,22894,21384,23503,21938,23979,25930,27913
198,19085,20477,20337,21284,22631,22494,21323,22174,22158,22839,24738,26933
199,18365,20201,20020,21091,22085,23306,20919,21676,21800,23034,26183,27755
200,19017,23854,20797,21075,22118,21834,20631,22429,23393,23317,26088,25742
201,19501,21457,21113,25178,23885,24341,23767,24573,24285,25290,27143,29619
202,21530,20823,20443,22944,22656,23758,21408,23166,23639,23554,25899,29083
203,21693,25037,19886,21850,21336,22582,27515,22164,22648,23155,25598,26380
204,22177,22031,20242,21173,21178,22651,22406,23012,22157,23374,26092,26337
205,27658,22151,19961,21516,22285,23235,22599,21523,22570,22953,26064,27760
206,24851,24932,19966,21672,20977,23590,21780,21332,23231,23642,28792,26913
207,20758,30442,22196,21680,23880,23137,21744,21948,22044,24022,26475,26136
208,21802,31738,20298,21955,21917,23958,22750,22549,22359,23153,25908,25888
209,19772,21725,19617,22198,23140,22550,22580,21668,23094,22995,29207,27152
210,19571,21705,20295,21708,22561,23358,21475,22446,22875,22345,26117,27795
211,18468,20187,20708,22505,22930,21864,21798,22059,23774,23428,27327,27573
212,18464,20613,22663,22317,22712,22221,21988,22747,23176,22533,25382,28650
213,18653,20743,20544,22061,22387,22509,21094,23001,22030,22864,26475,27194
214,19065,20825,20738,21380,22311,22538,21787,22976,22265,23075,26460,25429
215,18718,20478,19893,21389,22739,22882,21925,24651,21912,23080,27800,26259
216,18967,22215,20460,21589,22323,25210,22890,24308,22613,23635,26395,30305
217,19307,20339,21053,21576,21313,23983,21567,22417,23670,23902,26806,26293
218,19046,20338,20964,21656,22448,23702,22209,22518,22979,23865,25664,26835
219,20196,28738,30711,28520,22000,23430,24193,22100,22668,23563,29153,28426
220,19313,21515,21179,27438,24134,22853,23168,21946,23637,23961,28383,27812
221,20761,20403,20808,21670,22665,24124,22733,21664,23251,23264,26205,26223
222,19294,21319,20572,21817,23569,23861,22532,22521,22995,24322,26868,27755
223,19280,20461,21722,22602,22217,23056,22414,22795,22526,24146,25780,26417
224,18862,19837,21037,23765,22082,23566,21581,23003,22964,24069,26187,25812
225,20609,20027,21206,23097,21891,23241,21563,23164,22975,23960,25785,30698
226,19625,22893,19802,22339,21515,23461,21755,24083,22722,23655,25351,27174
227,19675,20576,20560,22473,22845,25478,22083,24046,23159,23483,26780,26526
228,20645,22114,21192,22406,22205,24080,21944,23424,24012,24305,26622,25796
229,19684,21159,21341,21952,22885,23670,22624,22878,23044,22928,25648,26812
230,19511,19783,22913,22900,22961,22992,24368,22407,23042,23422,26670,29121
231,19866,20222,22081,21652,24857,22579,22678,22432,22817,23600,26310,25986
232,19738,20765,21250,22103,22399,23658,22381,23155,23692,24502,25434,29353
233,21033,20396,22004,21656,22402,23029,22159,22573,23151,24999,25907,27299
234,20168,20976,22333,21246,22227,23219,22213,22430,22844,23701,27786,27227
235,20467,19796,23142,22575,21635,24117,21687,23290,23390,23187,25815,27104
236,20804,19643,21968,20779,22091,23882,21599,23133,23312,23471,25594,26565
237,20597,19646,21754,21950,23624,23618,21939,25408,23796,23347,26038,26715
238,20143,20033,22074,21342,23693,25010,22558,23698,24166,23506,28030,27551
239,20374,20346,21589,22212,23045,22989,22059,22857,22714,24927,26123,29229
240,22091,19811,21299,22012,25181,23185,22350,22943,22778,24794,25698,27945
241,20186,20017,22521,22310,23099,24061,25132,22831,23404,23682,26416,26850
242,20071,20410,21366,23617,23024,25197,22654,22403,24726,25407,26060,26366
243,20958,20372,20637,23720,22026,24289,22922,23058,23849,24860,27449,26997
244,20123,20445,21524,23920,22526,24008,22576,23119,23268,23974,27553,28711
245,19855,20390,21050,22458,23095,23867,24499,23154,23746,24015,26424,28660
246,21011,22019,23396,23368,23063,22988,22048,25461,22913,24319,25154,27497
247,19829,20419,22308,22379,23299,23630,23497,23612,23085,23878,25707,26980
248,20149,20854,22303,22745,24713,22775,23724,24239,23268,24075,28192,26282
249,20433,20270,22126,21727,22947,24788,23094,22900,25132,25440,25700,27180
250,20342,20761,22438,21858,22554,23713,23290,22586,23977,23323,26162,26690
251,20204,20879,22918,22207,22141,24344,23317,22560,23493,24114,26943,27420
252,20954,21032,23136,21997,26143,26547,23169,24289,22738,23953,26813,27332
253,20295,21307,21931,24107,23336,24976,22639,23360,35794,33879,25633,29775
254,20052,20945,21131,22691,23988,23168,22332,24192,25221,34935,25635,27699
255,20028,21085,21436,22547,23420,23131,22167,23541,24092,24844,26113,26453
256,19890,21309,21353,22302,22481,23812,22737,24373,23423,26360,25820,26866
257,20122,20617,22071,23271,22563,23880,23200,23294,23639,23574,26662,26686
258,21043,22492,22708,31039,23417,24134,24241,23117,23584,23011,26470,28687
259,19795,21096,22960,22710,23965,25839,23680,22982,22963,25104,26572,26792
260,19505,21199,22126,21852,23484,23872,23453,22798,23002,23762,25672,27125
261,19776,20808,22371,21866,24287,23884,23085,22784,22934,24105,25775,27314
262,19257,21401,22844,22162,23476,22961,22217,23165,22975,24507,27793,28410
263,19841,21142,21695,22160,24678,24634,22536,25267,25730,24152,25826,26949
264,20088,21609,21601,35711,22465,24399,22732,23571,23966,24094,26674,26948
265,20004,22530,20655,24429,22787,24392,23412,23565,23762,23498,26940,26885
266,19805,21562,21675,23478,23318,24119,22910,23091,23319,24174,27162,25935
267,20219,21010,22102,22713,23635,24278,24814,24081,22954,24349,25961,28923
268,29759,24739,23842,23068,23932,23427,23543,23768,23095,24684,26491,28073
269,24170,31957,22590,21778,27777,23367,22944,23774,25595,26429,26343,26944
270,21031,22853,22759,22627,23053,26201,22401,24020,23922,24383,25988,27203
271,21091,21648,22347,22023,22982,24630,22268,23752,24191,23836,27090,27026
272,20486,21990,21837,22872,22882,24475,22639,23901,23227,24165,26344,26784
273,20581,22011,22103,23339,24682,23823,24075,23583,24047,24574,27192,25110
274,20885,22447,23171,23359,23707,24906,23575,23765,23566,25472,25023,26378
275,20387,21877,21952,24969,23796,23823,23775,23137,23445,24388,25913,27308
276,21348,25218,21416,24057,23210,23765,24224,22966,23916,23755,27769,26165
277,20226,22408,22040,26040,22535,24311,22992,23677,23944,24616,25726,26861
278,19770,22081,22918,22865,22895,24498,22598,23682,24347,23593,25409,26710
279,19811,22166,23617,24491,24296,24505,22884,24182,24688,23807,26365,27146
280,20252,21746,22894,22640,24285,25713,23372,25262,23463,25632,26629,25900
281,21667,23149,22270,23259,23637,23594,23421,23934,23938,24648,25645,28605
282,20572,21697,22687,22455,23894,25112,25082,23529,24121,24786,25885,27610
283,20444,21844,22064,25039,23176,24403,23499,23600,24787,24188,27000,26697
284,20642,21412,21200,23396,23484,26267,23398,24747,23914,25463,26656,27594
285,20489,21961,23597,23474,24076,25199,22668,23411,23319,24781,25702,27129
286,20680,22263,22455,24217,24100,24230,22620,23890,24514,25055,26747,28937
287,21861,21745,22320,23071,24119,24646,22875,24039,24354,25247,27186,26179
288,21141,22075,23159,23086,24014,24561,23867,24498,25030,24463,25943,27555
289,21172,21772,23075,22564,23567,24052,25199,23866,25100,24609,26350,27775
290,21618,21791,22973,25063,24148,25889,25358,26023,24600,26463,27806,27153
291,20708,21277,22202,23940,24323,25186,23350,24842,23657,25081,26042,26758
292,21321,21219,21798,23615,26699,25321,23164,24506,24104,25263,25118,26567
293,21888,23232,21808,23389,23683,24965,22984,24242,24349,24402,26614,27424
294,21705,21283,21959,23390,24536,25305,24887,23844,25045,26171,26265,26141
295,21324,21032,21992,23921,23363,25506,24360,24309,24112,24784,25650,28612
296,22181,21300,23691,25363,23555,24824,24256,23489,23853,25292,25787,27268
297,22053,20871,23459,23147,23966,24485,23911,24236,24031,25183,26140,26579
298,21234,21852,22811,22624,24141,23471,23506,24154,24356,24877,26451,26010
299,22058,22617,22427,22836,24028,23817,22909,23845,24308,24825,26431,26798
300,20850,22005,24793,25254,25148,25223,24737,24820,24784,26792,25988,28101
301,21091,23446,22853,27012,25256,28015,29217,27900,25394,28558,28636,29548
302,20635,21914,22247,24777,24163,25442,23898,25314,24202,26117,25882,27797
303,20547,21612,22729,25136,24487,24255,23461,24365,24713,24580,26244,27824
304,22254,21586,23236,23964,26067,25114,24350,24347,25590,25697,29333,27852
305,20304,22254,23639,22889,24438,25219,23585,26242,24287,25092,26042,27661
306,20735,21977,23044,23470,23544,25866,23833,24285,24350,25892,26553,27738
307,20179,21579,22966,25831,24219,25688,23964,23654,24715,25717,27026,26877
308,20215,22221,21753,24316,24757,24180,24713,23586,25192,25075,26169,26864
309,20517,21550,21637,24159,24132,24416,23345,24665,25485,24560,26406,28962
310,20678,21828,22638,24465,25254,24712,23834,24771,24544,26667,26755,27470
311,20465,24113,24384,24200,24897,26121,24417,26222,24205,25345,26749,26971
312,20429,23076,25282,23215,23998,25763,23833,24162,24733,25542,26310,27738
313,21075,22523,22905,24727,24995,24948,23970,23494,25993,24948,28885,28377
314,21124,23445,22840,23607,25831,24597,23248,23598,25381,26461,27455,26852
315,21094,21930,22290,23765,23616,25717,23991,25674,24212,25681,26109,26914
316,22344,23450,22814,25053,23395,25733,23370,24339,24462,26071,26331,26938
317,20939,21592,24108,24402,23807,25214,24128,25675,24639,25278,26871,27212
318,21063,21871,23041,24090,24472,24529,23697,24057,25464,25232,26555,29825
319,21987,21445,22375,23399,24984,24347,23726,23959,26094,25428,28761,28181
320,21681,21118,22638,23366,26270,24994,24297,23789,24437,26842,26784,27059
321,21879,21890,23257,23111,23997,26163,24212,25281,24553,26078,26176,27694
322,23218,22114,23179,26676,24562,25175,23404,24770,25303,25838,27823,27060
323,21923,21900,22347,25564,24668,24906,25308,24664,25183,24892,28085,29792
324,21736,22028,21783,23988,26066,24592,24171,25757,24914,26876,27917,28037
325,21633,22340,21885,24387,24153,25986,37464,32871,24330,25587,28090,29369
326,21710,21719,22607,24192,23465,25400,28283,37838,25098,26136,28233,28398
327,23386,22948,22960,23352,24281,26180,23127,25018,24984,25248,31000,33778
328,21575,23312,23780,24773,24700,25588,23955,24370,25367,25016,29179,28966
329,21177,22837,22960,24797,24276,24324,23224,24014,26565,25318,27619,28497
330,21476,22487,22732,23531,25686,25110,24429,24265,25262,26488,29004,31403
331,21180,22796,22110,23337,24054,26326,24071,24515,25103,25660,30551,28848
332,21577,22618,23327,24961,24613,25846,23863,23400,25199,24999,27852,29306
333,22866,22557,23917,25263,25041,25191,24268,23046,26219,25666,27456,28636
334,21829,22713,23197,24128,26907,24705,23322,23659,25840,27971,27482,27950
335,23135,22300,23119,23245,24651,26153,23124,25449,25156,26920,28649,27715
336,22743,22186,22682,24579,24120,26566,23205,24230,25544,25368,27296,28679
337,22371,21748,22879,24182,25232,25581,23613,25171,24536,25276,27094,27936
338,23196,21947,23713,23981,25079,25059,23661,23728,24323,25780,26389,28167
339,21965,23500,22317,25298,24908,25016,23775,23246,26556,26377,26802,27906
340,22030,22297,22708,24579,26417,26458,23994,23765,25945,25405,27915,27327
341,21531,22426,22774,24168,24595,26664,23927,25771,26396,25320,25980,28221
342,23608,23696,23617,24758,25300,26268,23333,24666,24829,26374,26281,27691
343,22050,23987,24251,25024,25169,25087,23231,23990,26619,26520,28457,26482
344,23185,23396,23071,24213,26488,26100,23279,24594,25348,25689,27357,27946
345,22128,23395,22425,24039,24498,26714,25338,24055,25605,24875,37951,32908
346,22049,23025,22255,24279,25251,25943,24319,23752,24932,25328,28977,40909
347,22754,22004,22821,24225,25379,25818,23550,24222,25208,26393,26952,27708
348,21914,21790,22871,24272,24949,25720,23019,24525,25310,26131,26294,27041
349,22914,22172,24247,25474,24882,25688,23561,25131,26383,27732,27693,29324
350,22581,23345,23556,23887,26357,27106,23799,24308,24765,26092,27594,27977
351,22463,22674,23254,23897,25754,25319,25206,23908,24766,26125,26284,27107
352,21466,22637,22859,23917,24421,25290,24440,24167,25417,25727,26691,28156
353,21016,23061,23792,24904,24362,25913,24091,24055,27102,26487,28321,27675
354,21476,22627,23563,25671,25426,27291,23615,24370,25174,27262,26512,27698
355,21510,23079,24264,26197,25045,25768,23212,24564,27118,27663,26823,27635
356,21323,24227,24284,23912,24941,25226,24675,26150,25943,27937,27534,27329
357,21266,23158,23915,23718,24238,25412,24159,24126,25371,25697,27012,27324
358,22538,23166,23700,24552,24096,25860,24345,24013,26828,25494,27754,28990
359,22621,22196,24541,24998,25113,26052,24513,23904,25459,26491,27158,27191
