Size,100,1000,5000,10000,50000,100000,500000,1000000
0,1885,7962,37784,62438,296268,720135,3397857,7194019
1,1886,6705,42044,61949,354375,719087,3172688,6833567
2,1956,6635,38133,72286,329652,770700,3717102,6397547
3,1885,6635,38203,65791,310585,854161,3126732,6057209
4,1885,8032,77314,65860,331398,774541,3472098,6811846
5,1956,6286,40089,201143,296128,816237,3780867,6031997
6,1886,6635,39949,62439,296896,621519,3409800,7018717
7,1886,8939,32407,62857,301365,625570,3433336,6078232
8,1886,6635,32966,63486,314357,732078,4113941,6414658
9,1955,6704,32965,64604,288934,750795,3209843,6038282
10,1886,6984,32826,173696,311423,742624,3917617,6563351
11,1885,6634,32895,63975,296547,748840,3206560,6083190
12,1467,6635,31429,62927,284115,594700,3690981,7031288
13,1885,7683,32476,62927,295569,772726,3070649,6038143
14,1886,6705,42533,62997,285372,682910,3243018,6784748
15,1885,6146,35550,134863,306395,747862,3301196,6324562
16,1955,6775,32477,61531,306115,721671,3297844,7356679
17,1886,6635,32965,63067,310445,646662,3210891,6079838
18,1816,6566,32407,60343,301017,576052,3672054,6693605
19,1886,6774,32895,61111,290890,721881,3519101,6015235
20,1955,6565,32616,62508,288655,748560,3288973,6625649
21,1956,6705,32965,60483,288585,651551,3749159,6610424
22,1955,6635,31498,60064,293753,732637,3378580,6228391
23,1956,7613,32407,60064,300248,665729,3293933,6062307
24,1816,6216,42045,63905,322528,630389,4228271,6813871
25,1886,7543,40089,82203,304927,730751,3109341,6021591
26,1956,7333,37994,63416,300108,690802,3501012,6386791
27,1956,6495,30032,63975,290051,653856,4155217,5998753
28,1956,7124,32406,63276,290750,733545,3188751,7053986
29,1886,7683,30101,61880,308629,722231,3588593,6042054
30,1397,7194,31498,74870,290261,709729,3956449,6291318
31,1886,6286,33454,72006,288166,716154,3317749,6032486
32,1956,8102,30940,72844,299410,750306,3208935,6316810
33,1956,7822,31498,69981,288166,711545,3266065,6021171
34,2445,6565,38692,72635,300108,760783,3263691,6546309
35,1886,7613,38064,72844,288166,702954,3708580,6033184
36,1816,6565,31359,70610,291938,617678,3269697,6282658
37,1886,8172,32965,71029,288585,757501,3290091,6057070
38,1886,6705,30451,77245,294381,747653,4088868,7391600
39,1886,7124,31429,70540,300667,589112,4087052,6006086
40,1886,7613,30730,71517,287677,718528,4120576,6702964
41,1886,8032,32407,69632,300598,732637,4033832,6038841
42,1886,7753,30520,75778,285232,615583,3447164,6622018
43,1886,7682,33384,67188,289283,771259,3669121,6026409
44,1955,7753,49517,67188,309048,738993,3498219,6571312
45,1886,6774,38413,83740,300039,671875,3629940,6102956
46,978,6285,35829,63835,292985,606154,3207678,6531154
47,1816,6985,32756,62997,289423,760853,3321031,6082841
48,1956,6635,32407,62508,300598,609227,3099703,6680684
49,1467,7123,34432,61950,304788,602941,3259780,6055045
50,1886,7682,32896,92121,288655,754567,3728486,6705129
51,1955,6774,34571,64673,285233,646453,3310694,6069711
52,1955,6635,32826,65861,289074,711405,3002205,6748431
53,1886,7753,36736,64254,289143,569068,3054865,6021241
54,1886,6985,39600,64115,300528,713431,3261037,6623903
55,1886,7613,34292,85067,288655,734732,2985862,6022080
56,1886,7124,33734,81086,294311,647710,3200484,6722240
57,1466,7683,31429,65371,289563,754637,3358676,6005945
58,1955,7054,32407,63625,295081,717970,3425164,6367934
59,1816,7543,33803,62997,299760,623195,3010934,6036118
60,1956,8032,33175,66140,288794,584503,3327806,7152952
61,1886,9568,32895,61041,310445,769792,2927474,6275953
62,1886,8101,34362,61530,288655,707773,3292466,7017111
63,1885,7683,31010,61460,287677,610415,3010236,6046873
64,1955,7124,102178,59924,290121,745906,2942840,6883783
65,1886,6635,41626,81505,299620,709729,2987258,6082631
66,1955,7194,40159,60203,287607,628154,2943817,7076964
67,1816,7613,32407,60064,299481,739202,3078891,6293763
68,1956,7124,30731,59644,308699,643939,3694962,6927714
69,1956,63276,32406,59645,289353,746814,3060313,6028505
70,1955,16623,32895,82831,304020,649804,3053469,6936374
71,1397,10336,33384,78293,300179,622636,3037265,6285870
72,1956,6775,30032,63696,300528,650504,3094954,6621250
73,1397,9080,32685,62718,348020,713710,2984534,6032625
74,1956,6286,40508,62508,288654,616212,3619533,6189140
75,2444,6565,38483,64114,289563,721602,3050046,6087101
76,1885,6774,31429,66349,288166,737386,3028605,6428906
77,1885,10336,30032,63486,296477,770281,2889341,6018657
78,1885,7683,30032,62368,286908,710218,3037753,6448601
79,1886,7612,31498,66350,327277,570046,3072116,6039260
80,1955,8241,30102,84298,300598,657558,3171780,6430442
81,1955,7962,30311,73962,302344,759246,3392199,6288594
82,1886,7683,30940,64673,307092,668522,3012192,6254651
83,1886,7124,33873,61949,300598,618655,3367755,6063635
