Size,100,1000,5000,10000,50000,100000,500000,1000000
0,977,5797,28635,54756,284325,541061,2675556,5768066
1,978,6286,29543,54825,285791,539875,2733944,5476408
2,977,6566,28566,55315,271334,557125,2711943,5459436
3,1956,6286,29124,58318,270985,547068,2705728,5341404
4,978,16342,34571,59645,282508,614675,2678070,5437995
5,1816,6705,34851,56222,271124,650224,2679747,5393506
6,1886,6286,34222,55314,269168,554960,2678000,5388129
7,1466,6705,28147,55663,348020,555519,2680166,5443722
8,1885,6635,27168,54267,336217,539805,2690013,5377861
9,1956,6565,35759,55314,269448,578496,2708871,5387849
10,1885,6705,27727,64185,269938,578148,2713969,5389595
11,1886,6216,27657,55314,335867,549303,2683029,5455176
12,1886,5727,27936,54756,322458,543087,2683937,5482415
13,978,6286,27658,55036,288655,537709,2708242,5395811
14,1885,6565,36387,54825,270147,558452,2702026,5395881
15,1956,6705,35200,54895,291518,588065,2681772,5411037
16,1397,6635,28984,55244,273429,541062,2683029,5378351
17,1886,6285,28216,55803,274686,550141,2720883,5381703
18,1467,6705,28635,55245,273988,541411,2678350,5396928
19,978,6216,27588,54686,273499,540083,2682331,5343221
20,1467,6635,28215,55175,343690,539595,2682331,5361658
21,1885,6565,28775,56641,309538,540433,2673461,5353906
22,1467,6565,29054,54336,279156,540014,2683518,5374928
23,1397,6704,27657,54756,281601,541481,2693855,5373392
24,1885,6146,34711,57270,276013,546649,2730940,5383379
25,1956,6285,35340,60343,274477,545741,2737785,5366408
26,1956,6635,35200,56222,342293,542459,2690433,5391271
27,1886,6635,27169,56083,328325,540503,2700769,5375906
28,1886,6635,27658,56292,274617,539944,2705309,5368364
29,1956,6635,28216,55314,283068,540014,2674997,5403703
30,1886,6356,27727,57619,274966,540293,2677722,5369550
31,978,6984,28146,58597,271893,539386,2720465,5376255
32,1886,6565,27168,58736,335728,540014,2684705,5394484
33,1886,6565,27658,57759,296128,536592,2706706,5371995
34,1885,6705,34851,56292,274337,549582,2667734,5359144
35,1397,6705,35270,57270,274268,556985,2678559,5403563
36,1886,6146,28007,57550,275454,549024,2686591,5458878
37,978,6286,27658,58737,274338,540223,2674509,5371506
38,1886,6565,27657,57480,341595,541691,2679398,5380585
39,1396,6775,27099,58667,306814,541062,2665988,5376046
40,1397,11873,27098,57200,276362,542039,2683378,5394833
41,1885,6775,28635,58806,274547,549094,2694972,5359842
42,1397,6635,28425,59016,284045,566554,2677930,5386522
43,977,6705,28146,56571,273709,539595,2684286,5430871
44,1467,6146,37156,57340,274616,540014,2677721,5364452
45,1467,6635,30032,55594,275036,559570,2684426,5367595
46,978,13829,28705,56781,275106,541481,2687359,5410268
47,1397,6705,27587,56293,275036,542947,2690502,5365360
48,1886,6635,28356,55734,273919,541970,2686870,5375627
49,978,6635,28147,56293,275664,549163,2692178,5379608
50,1886,6844,27238,55244,341036,565367,2684985,5413201
51,1955,6565,28077,56712,323366,539944,2680095,5391131
52,1466,6286,27587,56292,274757,540503,2681562,5359005
53,1886,6565,27657,56711,344458,539595,2684985,5430453
54,1816,6705,27588,55315,328255,554681,2673601,5344198
55,978,6146,28565,56432,296267,539734,2682960,5363544
56,1467,6565,27588,70261,270496,540224,2714248,5375696
57,1816,6775,27587,56502,275176,539874,2675067,5350973
58,978,6635,28146,56222,273918,555380,2683518,5371995
59,1816,6775,28565,55314,284325,539805,2682819,5374439
