Size,100,1000,5000,10000,50000,100000
0,1467,4261,15784,41136,144572,291239
1,1467,4330,15714,29822,148134,288795
2,1467,4400,18508,31010,145340,301855
3,1467,4819,15714,30521,143664,289563
4,1467,3352,18229,29892,147436,289982
5,1467,3422,16133,30101,143804,470732
6,908,3841,15784,30520,155817,291030
7,908,4260,15785,30101,143314,290052
8,978,4330,18508,29822,163010,285303
9,977,3841,18368,29334,148484,296547
10,1397,4191,17111,29333,147645,296896
11,978,3841,16133,30590,147576,289284
12,1467,4260,15784,29613,145410,289353
13,1467,4190,18089,34432,147295,295710
14,1466,4330,15644,30242,149531,290192
15,1886,6146,18578,31010,151207,292427
16,977,4330,15854,37156,152115,294033
17,1397,5797,18578,35270,151417,291379
18,1466,3771,15784,29474,148832,289284
19,978,4260,15854,34292,149601,285233
20,2375,4191,16902,34292,169436,290541
21,1397,5308,19486,30102,147855,289773
22,1397,5587,15854,30102,147366,299760
23,1397,4819,16203,30102,142826,285023
24,1816,5238,18788,29543,146807,291519
25,978,4261,15645,34851,145131,296827
26,1397,4330,16133,34851,145620,305417
27,1466,4400,18089,29543,144013,291309
28,978,4331,16203,29752,145830,290052
29,1956,4261,16343,29962,146318,293265
30,1397,5657,16133,29753,147576,313379
31,1466,4889,16692,29543,143944,290052
32,1467,4330,15785,30520,144223,527723
33,978,4190,15435,30032,147994,293684
34,1885,4330,15714,29543,148623,288585
35,1467,4330,18159,30590,148344,285023
36,977,4330,15644,30451,147575,296757
37,978,4260,15784,29542,248986,285792
38,978,4261,15714,29613,259601,298364
39,1397,3911,27168,29543,143734,285792
40,1397,6285,29473,29613,148204,299132
41,1886,4680,27587,30311,148343,296756
42,908,4191,16552,29613,143035,289354
43,908,4261,15645,34851,148832,284535
44,1396,4261,15714,29543,148413,290751
45,1956,4260,16133,30521,147785,286490
46,1397,3911,15714,29823,147645,288655
47,978,3352,15505,30102,144083,294732
48,1956,3841,27658,29962,143734,290541
49,1466,3911,16134,30032,143455,317220
50,1397,3842,16692,29752,143874,285303
51,1467,3841,16622,34781,149112,300878
52,1396,3911,15645,29543,145968,292776
53,1467,3841,16204,30031,157842,297385
54,977,3771,16692,29892,148064,290471
55,1397,4330,15435,29613,147505,297385
56,978,3353,16134,28844,155118,309608
57,1467,4261,16553,30032,143106,289633
58,1397,3912,15784,29543,145061,289563
59,978,3842,26749,30311,143664,306814
60,1397,6984,19067,29752,144572,290331
61,978,3771,15715,30101,147645,293055
62,1467,3283,16343,28635,157073,293055
63,1955,3841,18648,29543,155258,289144
64,1467,4330,18788,30241,148344,290471
65,1466,3841,15784,30311,164407,289564
66,1886,4191,15784,29823,145690,292427
67,1467,3911,15225,29613,150718,302903
68,1397,3911,19137,29613,148553,515501
69,908,3283,25073,29962,143384,299201
70,1467,5588,16343,30102,147925,288586
71,1886,3911,25981,29962,145829,289983
72,1397,4260,18159,30032,144642,290052
73,978,4190,27727,29613,143105,290471
74,978,3841,27937,29613,154140,290541
75,978,3842,19765,30032,147854,293474
76,1816,3352,15714,29823,147854,291938
77,1466,4261,15854,30032,150090,298643
78,1397,4260,15645,29543,153861,285792
79,1467,4190,23397,29543,148553,292846
80,1397,5168,15715,30032,162940,295150
81,1467,4330,15854,29613,146318,285722
82,978,3422,15714,52311,148623,284884
83,908,3772,18438,30101,148693,290122
84,1466,4261,15784,30521,148064,286700
85,1397,4330,18788,30102,143455,290262
86,1466,4260,16692,30032,149461,288865
87,1467,3842,28355,52521,147854,292147
88,1467,3771,17949,30032,148693,291728
89,1467,4260,18438,30031,143734,291519
90,1467,5238,18020,30312,145619,300249
91,1397,4191,15365,30032,143035,285792
92,1955,4330,16134,30032,147715,294662
93,1397,4260,18019,30520,147924,290541
94,978,4331,15365,45956,245214,285722
95,1397,6495,15715,29613,144014,287678
96,1397,6705,15645,30032,147784,291518
97,1397,6216,14876,31010,166154,296827
98,1397,7054,14248,48679,144991,289633
99,1467,5727,15365,29334,164826,290821
