Size,Min_us,Max_us,Median_us,Mean_us
NaiveSearch
100000,251857.055000,376658.826000,275763.221000,281852.436124
1000000,2824333.054000,5741701.231000,3176814.684500,3669046.893644
NaiveSortedSearch
100000,2647.491000,2839.626000,2717.996000,2698.700624
1000000,25543.636000,33129.148000,25812.143000,26027.381480
BinarySearch
100000,532.054000,613.351000,537.222500,544.766392
1000000,719.649000,756.036000,724.957000,727.747524
DuplicatesNaive
SortedDuplicatesBinary
SortedDuplicatesSmart
