Size,Min_us,Max_us,Median_us,Mean_us
NaiveSearch
NaiveSortedSearch
BinarySearch
DuplicatesNaive
100000,2519113.510000,2868641.154000,2698597.180000,2725394.440600
1000000,272948271.653000,350706438.371000,340487975.172000,314833691.617000
SortedDuplicatesBinary
100000,4104.389000,5470.912000,5335.559000,4758.065600
1000000,44489.180000,50331.161000,44807.728000,46253.130400
SortedDuplicatesSmart
100000,637.725000,1001.740000,637.725000,767.560600
1000000,6768.920000,7338.620000,7199.355000,7110.041600
