Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
0,2512192,14141857,61462,206105282,365902406,6993333,161198,223778,777425,7525887,26817846,423390,854881,68935,73126,20115,4679,1397,2445,270852,41766,968027,33874,992821,63208,54247168,62021,95615,3647773,50147,295297,492104587,241491076,49589,63697,353407,96803,9219,5099,428418,29682605,44420,30411070,184735,977,13479,248153,572295,167065,28203605,300186,259467
1,484,645,193,976,1095,600,324,359,405,612,131,227,48,249,209,193,81,13,43,339,218,120,252,307,192,790,289,148,548,264,383,1162,1002,268,297,49,153,153,114,410,160,273,69,114,0,169,197,363,289,164,375,85
2,15,16,7,15,16,13,11,12,15,14,5,7,3,10,8,8,4,2,3,13,9,5,9,8,7,14,12,6,13,10,12,17,16,11,11,3,6,6,5,14,6,10,4,5,1,7,7,14,12,5,13,4
