Repeat,10,100,500,1000,2500,5000,7500,10000,15000,25000,37500,50000,62500,75000,100000
0,13480,2374,1956,2375,2794,1886,908,3353,2864,1467,2305,2794,978,2374,2305
1,11734,2305,977,1886,1885,1466,908,1956,908,978,1467,1397,1397,1397,1466
2,21092,2864,1467,1956,1886,1397,1397,978,908,1466,908,1397,908,1397,1467
3,4749,1886,1396,1397,1467,1327,977,1467,1467,978,1466,1467,908,1397,1396
4,8032,1466,1816,1396,10966,1467,1397,1467,978,1397,978,978,1396,1397,978
5,9080,978,1397,1467,1397,1885,1467,1467,977,1397,1397,1467,978,1467,1467
6,3283,1397,1397,1467,1816,1886,977,908,978,978,1397,1467,978,978,977
7,7543,2793,1886,1466,1886,1467,978,1397,1467,1396,1467,978,977,1467,1467
8,3353,2375,1885,1397,1956,1955,978,978,908,1397,1397,977,1397,978,978
9,7683,1956,1397,1886,1886,1885,1396,1466,1397,908,978,1397,978,1396,2374
10,6216,2933,2375,1397,1956,1397,1397,908,1397,1466,1466,1397,1397,1397,1397
11,1886,1466,1815,1467,1885,1467,977,1467,978,978,978,978,1397,977,978
12,3353,1885,2375,908,1397,1885,1467,1466,1397,1397,1467,1396,977,1467,1467
13,4330,1886,1397,1467,1956,1397,978,978,977,1396,908,908,1467,1397,1467
14,1467,1397,1466,1467,1397,1396,1396,1466,1467,908,1397,1466,978,978,978
15,11384,3352,1886,2444,2864,2375,978,908,1397,1396,1397,978,1466,1467,1467
16,3283,1886,1466,977,1886,1467,1397,1467,1397,978,977,978,908,1467,978
17,7264,3353,1396,1886,2445,1397,908,1396,1397,978,908,1396,1397,1466,1396
18,3842,1956,1467,1397,1397,1397,1397,1467,1396,978,978,908,978,1397,1397
19,5238,2375,1467,1886,19974,1956,2305,1397,1467,978,1466,907,1397,1466,1397
20,4749,1885,1466,1397,1466,1397,978,1397,978,978,978,1397,977,1397,908
21,1397,1467,978,978,1467,1886,1397,978,1466,977,1467,907,978,1466,1397
22,5308,2864,977,1467,1955,1886,977,1397,978,1397,1396,1397,1397,1466,1396
23,3282,1955,1397,978,1397,1466,1397,2374,1397,907,1397,978,977,1397,1467
24,5657,2374,978,1956,1397,1397,977,1397,1397,1397,977,977,1397,1467,978
25,6216,2444,1885,1885,1885,1467,1397,908,1397,1467,1467,978,978,1396,1396
26,5797,2863,1955,1397,1886,1467,1467,1466,1397,908,978,1397,1397,1397,1397
27,3352,1886,1397,1396,1397,1397,908,977,908,1397,1397,1397,1397,1397,978
