#,Selection 75000,Insertion 75000,Merge 75000,Merge2 75000,Selection 100000,Insertion 100000,Merge 100000,Merge2 100000,Selection 250000,Insertion 250000,Merge 250000,Merge2 250000
0,736.699792,736.699792,5.495974,5.054575,1321.802208,1321.802208,7.697660,8.400197,8267.453096,8267.453096,21.105777,18.209936
1,732.914868,732.914868,5.676863,5.094525,1339.286979,1339.286979,7.772390,7.265551,8243.497921,8243.497921,24.305361,18.293257
2,735.142744,735.142744,5.592775,5.164995,1309.200970,1309.200970,7.707856,7.011606,8199.390166,8199.390166,21.719685,18.563684
3,731.338194,731.338194,5.926827,5.036626,1323.949139,1323.949139,7.744873,7.265341,8251.929824,8251.929824,20.209641,18.483226
4,732.761845,732.761845,5.674280,5.495695,1325.369576,1325.369576,7.677825,7.017892,8315.094623,8315.094623,20.193926,18.205885
5,729.889680,729.889680,5.572800,5.688597,1316.448850,1316.448850,8.119015,7.092692,8130.316138,8130.316138,20.466099,18.300730
6,730.862643,730.862643,5.552755,5.209065,1321.257653,1321.257653,7.714283,7.025575,8121.419856,8121.419856,20.193437,18.203161
7,730.108213,730.108213,5.590400,5.234208,1326.370267,1326.370267,7.733838,7.739495,8152.930423,8152.930423,20.535730,18.244857
8,737.513517,737.513517,5.543886,5.506171,1351.499967,1351.499967,7.609031,7.075791,8196.553896,8196.553896,21.195315,18.759589
9,730.826883,730.826883,5.567003,5.012531,1311.966138,1311.966138,7.699127,6.979199,8307.329423,8307.329423,20.202237,18.262387
10,734.868686,734.868686,5.793150,5.182036,1307.231787,1307.231787,7.715819,6.917669,8263.775372,8263.775372,23.808577,18.409264
11,732.608053,732.608053,5.481936,6.349089,1317.160466,1317.160466,7.807032,7.040940,8249.570221,8249.570221,23.481160,18.692053
12,733.362901,733.362901,5.598432,5.073363,1321.846837,1321.846837,7.577254,6.940717,8267.520416,8267.520416,20.426568,18.448096
13,739.958251,739.958251,5.665828,5.038442,1323.978193,1323.978193,8.082278,7.378135,8250.674276,8250.674276,21.118698,18.312603
14,738.404974,738.404974,5.603041,5.123509,1339.963604,1339.963604,7.525431,7.049530,8268.605474,8268.605474,21.102006,18.301289
15,739.780994,739.780994,5.636774,5.040397,1326.139719,1326.139719,7.826937,7.107639,8299.810972,8299.810972,20.977897,18.360584
16,743.700852,743.700852,5.665340,5.036207,1337.243274,1337.243274,7.601279,7.061752,8232.988290,8232.988290,20.783039,18.199460
17,736.428038,736.428038,5.523841,5.420685,1305.681513,1305.681513,8.006640,7.099188,8194.285086,8194.285086,20.426010,18.199320
18,738.274720,738.274720,5.549472,5.082861,1295.117833,1295.117833,7.835248,7.021314,8214.906373,8214.906373,20.730658,18.207562
19,736.273270,736.273270,5.660521,5.006594,1300.815859,1300.815859,9.320220,7.247392,8335.995546,8335.995546,20.352257,18.332928
20,747.220589,747.220589,5.668273,5.056810,1317.777936,1317.777936,8.065027,6.923397,8239.490818,8239.490818,20.298828,18.536934
21,735.226065,735.226065,5.625949,5.091033,1301.349309,1301.349309,7.930233,6.953848,8252.885387,8252.885387,20.495572,18.729139
22,740.783221,740.783221,5.545213,5.076925,1318.359506,1318.359506,9.068232,6.904678,8139.852857,8139.852857,20.256644,18.638764
23,736.376426,736.376426,5.517485,5.408323,1350.396470,1350.396470,8.073548,6.847688,8194.028974,8194.028974,20.141894,18.332788
24,740.583753,740.583753,5.617848,5.134125,1305.327626,1305.327626,7.658688,6.891200,8177.138904,8177.138904,20.305183,18.246952
25,742.237462,742.237462,5.604508,5.095782,1305.116355,1305.116355,7.728810,7.248788,8307.558843,8307.558843,20.540689,18.212031
26,737.995773,737.995773,5.532362,5.020982,1317.609687,1317.609687,7.703597,7.410751,8288.405347,8288.405347,20.203005,18.296679
27,731.766602,731.766602,6.136561,5.145928,1308.662910,1308.662910,7.652402,6.988070,8275.861728,8275.861728,20.460092,18.779144
28,729.247207,729.247207,5.731130,5.110728,1305.769024,1305.769024,7.653381,7.092763,8303.721606,8303.721606,20.558429,18.326991
29,739.381151,739.381151,5.715346,5.579015,1304.225246,1304.225246,8.230272,7.087593,8846.160869,8846.160869,20.505978,18.361562
30,744.961144,744.961144,5.676724,5.861106,1338.994552,1338.994552,9.875601,6.964812,8378.967252,8378.967252,20.902050,18.889774
31,732.460757,732.460757,5.616940,5.073711,1318.827375,1318.827375,9.388525,7.193474,8322.370425,8322.370425,21.264388,19.347027
32,730.559321,730.559321,5.704172,5.121553,1308.532865,1308.532865,9.119146,7.049530,8337.382245,8337.382245,20.704258,19.345001
33,743.358838,743.358838,5.832889,5.738324,1307.147487,1307.147487,9.176276,6.975498,8287.105453,8287.105453,20.396885,19.002079
34,741.163229,741.163229,5.605346,5.053667,1312.634243,1312.634243,8.379523,6.937085,8262.180737,8262.180737,20.498505,18.467581
35,730.431929,730.431929,5.485497,5.290919,1308.342268,1308.342268,7.805845,6.953429,8206.722817,8206.722817,20.486492,18.384121
36,746.950162,746.950162,5.680076,5.089217,1294.870105,1294.870105,7.683483,6.939250,8242.549175,8242.549175,20.447590,18.644281
